>1_6	p_riboswitch=0.586323
>184_6	p_riboswitch=0.022919
>185_6	p_riboswitch=0.020136
>186_6	p_riboswitch=0.047771
>187_6	p_riboswitch=0.010306
>188_6	p_riboswitch=0.090133
>189_6	p_riboswitch=0.113638
>190_6	p_riboswitch=0.091504
>191_6	p_riboswitch=0.122054
>192_6	p_riboswitch=0.001664
>193_6	p_riboswitch=0.001490
>194_6	p_riboswitch=0.030499
>195_6	p_riboswitch=0.019673
>196_6	p_riboswitch=0.009404
>197_6	p_riboswitch=0.032199
>198_6	p_riboswitch=0.010919
>199_6	p_riboswitch=0.099537
>200_6	p_riboswitch=0.049131
>201_6	p_riboswitch=0.088779
>202_6	p_riboswitch=0.096634
>203_6	p_riboswitch=0.001619
>204_6	p_riboswitch=0.001418
>205_6	p_riboswitch=0.022669
>206_6	p_riboswitch=0.006125
>207_6	p_riboswitch=0.009556
>208_6	p_riboswitch=0.035604
>209_6	p_riboswitch=0.076293
>210_6	p_riboswitch=0.075781
>211_6	p_riboswitch=0.067790
>212_6	p_riboswitch=0.082805
>213_6	p_riboswitch=0.001541
>214_6	p_riboswitch=0.001512
>215_6	p_riboswitch=0.021281
>216_6	p_riboswitch=0.014418
>217_6	p_riboswitch=0.031728
>218_6	p_riboswitch=0.115017
>219_6	p_riboswitch=0.059591
>220_6	p_riboswitch=0.058133
>221_6	p_riboswitch=0.057114
>222_6	p_riboswitch=0.001635
>223_6	p_riboswitch=0.001493
>224_6	p_riboswitch=0.056981
>225_6	p_riboswitch=0.036902
>226_6	p_riboswitch=0.080886
>227_6	p_riboswitch=0.052071
>228_6	p_riboswitch=0.042447
>229_6	p_riboswitch=0.034202
>230_6	p_riboswitch=0.001614
>231_6	p_riboswitch=0.006048
>232_6	p_riboswitch=0.048821
>233_6	p_riboswitch=0.093268
>234_6	p_riboswitch=0.039772
>235_6	p_riboswitch=0.028523
>236_6	p_riboswitch=0.017585
>237_6	p_riboswitch=0.007346
>238_6	p_riboswitch=0.005703
>239_6	p_riboswitch=0.074598
>240_6	p_riboswitch=0.027514
>241_6	p_riboswitch=0.015613
>242_6	p_riboswitch=0.016495
>243_6	p_riboswitch=0.006681
>244_6	p_riboswitch=0.047949
>245_6	p_riboswitch=0.011428
>246_6	p_riboswitch=0.016965
>247_6	p_riboswitch=0.051460
>248_6	p_riboswitch=0.043764
>249_6	p_riboswitch=0.023603
>250_6	p_riboswitch=0.034909
>251_6	p_riboswitch=0.043561
>252_6	p_riboswitch=0.031741
>253_6	p_riboswitch=0.042678
>254_6	p_riboswitch=0.002949
>255_6	p_riboswitch=0.001907
>256_6	p_riboswitch=0.120956
>257_6	p_riboswitch=0.638657
>258_6	p_riboswitch=0.171550
>259_6	p_riboswitch=0.060319
>260_6	p_riboswitch=0.075093
>261_6	p_riboswitch=0.039454
>262_6	p_riboswitch=0.066162
>263_6	p_riboswitch=0.031920
>264_6	p_riboswitch=0.007204
>265_6	p_riboswitch=0.008837
>266_6	p_riboswitch=0.830463
>267_6	p_riboswitch=0.197881
>268_6	p_riboswitch=0.090229
>269_6	p_riboswitch=0.077611
>270_6	p_riboswitch=0.016066
>271_6	p_riboswitch=0.036919
>272_6	p_riboswitch=0.043046
>273_6	p_riboswitch=0.053966
>274_6	p_riboswitch=0.143461
>275_6	p_riboswitch=0.011842
>276_6	p_riboswitch=0.003204
>277_6	p_riboswitch=0.001948
>278_6	p_riboswitch=0.275206
>279_6	p_riboswitch=0.445331
>280_6	p_riboswitch=0.079593
>281_6	p_riboswitch=0.350599
>282_6	p_riboswitch=0.043508
>283_6	p_riboswitch=0.038201
>284_6	p_riboswitch=0.052488
>285_6	p_riboswitch=0.007511
>286_6	p_riboswitch=0.004468
>287_6	p_riboswitch=0.008053
>288_6	p_riboswitch=0.762205
>289_6	p_riboswitch=0.011586
>290_6	p_riboswitch=0.079030
>291_6	p_riboswitch=0.021471
>292_6	p_riboswitch=0.010946
>293_6	p_riboswitch=0.085921
>294_6	p_riboswitch=0.034426
>295_6	p_riboswitch=0.116910
>296_6	p_riboswitch=0.099460
>297_6	p_riboswitch=0.002896
>298_6	p_riboswitch=0.002775
>299_6	p_riboswitch=0.153054
>300_6	p_riboswitch=0.230096
>301_6	p_riboswitch=0.059243
>302_6	p_riboswitch=0.052820
>303_6	p_riboswitch=0.047330
>304_6	p_riboswitch=0.021854
>305_6	p_riboswitch=0.010530
>306_6	p_riboswitch=0.004881
>307_6	p_riboswitch=0.004057
>308_6	p_riboswitch=0.006482
>309_6	p_riboswitch=0.354367
>310_6	p_riboswitch=0.011117
>311_6	p_riboswitch=0.001654
>312_6	p_riboswitch=0.011503
>313_6	p_riboswitch=0.033944
>314_6	p_riboswitch=0.061077
>315_6	p_riboswitch=0.452284
>316_6	p_riboswitch=0.117192
>317_6	p_riboswitch=0.004328
>318_6	p_riboswitch=0.012010
>319_6	p_riboswitch=0.116284
>320_6	p_riboswitch=0.160563
>321_6	p_riboswitch=0.043365
>322_6	p_riboswitch=0.075575
>323_6	p_riboswitch=0.021785
>324_6	p_riboswitch=0.005070
>325_6	p_riboswitch=0.005599
>326_6	p_riboswitch=0.012107
>327_6	p_riboswitch=0.003413
>328_6	p_riboswitch=0.006466
>329_6	p_riboswitch=0.279173
>330_6	p_riboswitch=0.011819
>331_6	p_riboswitch=0.009958
>332_6	p_riboswitch=0.036708
>333_6	p_riboswitch=0.029255
>334_6	p_riboswitch=0.635001
>335_6	p_riboswitch=0.279425
>336_6	p_riboswitch=0.015603
>337_6	p_riboswitch=0.008937
>338_6	p_riboswitch=0.119768
>339_6	p_riboswitch=0.105343
>340_6	p_riboswitch=0.075977
>341_6	p_riboswitch=0.057922
>342_6	p_riboswitch=0.022401
>343_6	p_riboswitch=0.003561
>344_6	p_riboswitch=0.004848
>345_6	p_riboswitch=0.008852
>346_6	p_riboswitch=0.003921
>347_6	p_riboswitch=0.005884
>348_6	p_riboswitch=0.308201
>349_6	p_riboswitch=0.011616
>350_6	p_riboswitch=0.038811
>351_6	p_riboswitch=0.036951
>352_6	p_riboswitch=0.046146
>353_6	p_riboswitch=0.347703
>354_6	p_riboswitch=0.010888
>355_6	p_riboswitch=0.008026
>356_6	p_riboswitch=0.047950
>357_6	p_riboswitch=0.057255
>358_6	p_riboswitch=0.058093
>359_6	p_riboswitch=0.057733
>360_6	p_riboswitch=0.003976
>361_6	p_riboswitch=0.003319
>362_6	p_riboswitch=0.003906
>363_6	p_riboswitch=0.008054
>364_6	p_riboswitch=0.003688
>365_6	p_riboswitch=0.010286
>366_6	p_riboswitch=0.174964
>367_6	p_riboswitch=0.010752
>368_6	p_riboswitch=0.033191
>369_6	p_riboswitch=0.009615
>370_6	p_riboswitch=0.085268
>371_6	p_riboswitch=0.009641
>372_6	p_riboswitch=0.021506
>373_6	p_riboswitch=0.098412
>374_6	p_riboswitch=0.045843
>375_6	p_riboswitch=0.059557
>376_6	p_riboswitch=0.046975
>377_6	p_riboswitch=0.003654
>378_6	p_riboswitch=0.002823
>379_6	p_riboswitch=0.004125
>380_6	p_riboswitch=0.007277
>381_6	p_riboswitch=0.010884
>382_6	p_riboswitch=0.009493
>383_6	p_riboswitch=0.084745
>384_6	p_riboswitch=0.011750
>385_6	p_riboswitch=0.006588
>386_6	p_riboswitch=0.106058
>387_6	p_riboswitch=0.052268
>388_6	p_riboswitch=0.042497
>389_6	p_riboswitch=0.079155
>390_6	p_riboswitch=0.045434
>391_6	p_riboswitch=0.047466
>392_6	p_riboswitch=0.040863
>393_6	p_riboswitch=0.003028
>394_6	p_riboswitch=0.003081
>395_6	p_riboswitch=0.003854
>396_6	p_riboswitch=0.010363
>397_6	p_riboswitch=0.010491
>398_6	p_riboswitch=0.002979
>399_6	p_riboswitch=0.070632
>400_6	p_riboswitch=0.015539
>401_6	p_riboswitch=0.124696
>402_6	p_riboswitch=0.138454
>403_6	p_riboswitch=0.037074
>404_6	p_riboswitch=0.012417
>405_6	p_riboswitch=0.038279
>406_6	p_riboswitch=0.041609
>407_6	p_riboswitch=0.030641
>408_6	p_riboswitch=0.003246
>409_6	p_riboswitch=0.002950
>410_6	p_riboswitch=0.011296
>411_6	p_riboswitch=0.009955
>412_6	p_riboswitch=0.011113
>413_6	p_riboswitch=0.010218
>414_6	p_riboswitch=0.134622
>415_6	p_riboswitch=0.064582
>416_6	p_riboswitch=0.106737
>417_6	p_riboswitch=0.009634
>418_6	p_riboswitch=0.040786
>419_6	p_riboswitch=0.033700
>420_6	p_riboswitch=0.032028
>421_6	p_riboswitch=0.021836
>422_6	p_riboswitch=0.003090
>423_6	p_riboswitch=0.010350
>424_6	p_riboswitch=0.011425
>425_6	p_riboswitch=0.010840
>426_6	p_riboswitch=0.012139
>427_6	p_riboswitch=0.010766
>428_6	p_riboswitch=0.265013
>429_6	p_riboswitch=0.010335
>430_6	p_riboswitch=0.001541
>431_6	p_riboswitch=0.037387
>432_6	p_riboswitch=0.026138
>433_6	p_riboswitch=0.022919
>434_6	p_riboswitch=0.020136
>435_6	p_riboswitch=0.047771
>436_6	p_riboswitch=0.010306
>437_6	p_riboswitch=0.002676
>438_6	p_riboswitch=0.011447
>439_6	p_riboswitch=0.012218
>440_6	p_riboswitch=0.011507
>441_6	p_riboswitch=0.001664
>442_6	p_riboswitch=0.001490
>443_6	p_riboswitch=0.030499
>444_6	p_riboswitch=0.019673
>445_6	p_riboswitch=0.009404
>446_6	p_riboswitch=0.032199
>447_6	p_riboswitch=0.010919
>448_6	p_riboswitch=0.002746
>449_6	p_riboswitch=0.002700
>450_6	p_riboswitch=0.011489
>451_6	p_riboswitch=0.014338
>452_6	p_riboswitch=0.001619
>453_6	p_riboswitch=0.001418
>454_6	p_riboswitch=0.022669
>455_6	p_riboswitch=0.006125
>456_6	p_riboswitch=0.009556
>457_6	p_riboswitch=0.035604
>458_6	p_riboswitch=0.003003
>459_6	p_riboswitch=0.002927
>460_6	p_riboswitch=0.003857
>461_6	p_riboswitch=0.013447
>462_6	p_riboswitch=0.001541
>463_6	p_riboswitch=0.001512
>464_6	p_riboswitch=0.021281
>465_6	p_riboswitch=0.014418
>466_6	p_riboswitch=0.031728
>467_6	p_riboswitch=0.019298
>468_6	p_riboswitch=0.003222
>469_6	p_riboswitch=0.003747
>470_6	p_riboswitch=0.015632
>471_6	p_riboswitch=0.001635
>472_6	p_riboswitch=0.001493
>473_6	p_riboswitch=0.056981
>474_6	p_riboswitch=0.036902
>475_6	p_riboswitch=0.008412
>476_6	p_riboswitch=0.020502
>477_6	p_riboswitch=0.013190
>478_6	p_riboswitch=0.013632
>479_6	p_riboswitch=0.001614
>480_6	p_riboswitch=0.006048
>481_6	p_riboswitch=0.048821
>482_6	p_riboswitch=0.006132
>483_6	p_riboswitch=0.009032
>484_6	p_riboswitch=0.040068
>485_6	p_riboswitch=0.043736
>486_6	p_riboswitch=0.007346
>487_6	p_riboswitch=0.005703
>488_6	p_riboswitch=0.017029
>489_6	p_riboswitch=0.030460
>490_6	p_riboswitch=0.013624
>491_6	p_riboswitch=0.045931
>492_6	p_riboswitch=0.006681
>493_6	p_riboswitch=0.001343
>494_6	p_riboswitch=0.017033
>495_6	p_riboswitch=0.010465
>496_6	p_riboswitch=0.029353
>497_6	p_riboswitch=0.001436
>498_6	p_riboswitch=0.001351
>499_6	p_riboswitch=0.021996
>500_6	p_riboswitch=0.020292
>501_6	p_riboswitch=0.001439
>502_6	p_riboswitch=0.001553
>503_6	p_riboswitch=0.044374
>504_6	p_riboswitch=0.001662
>505_6	p_riboswitch=0.006945
>506_6	p_riboswitch=0.008137
>507_6	p_riboswitch=0.171550
>508_6	p_riboswitch=0.060319
>509_6	p_riboswitch=0.075093
>510_6	p_riboswitch=0.039454
>511_6	p_riboswitch=0.066162
>512_6	p_riboswitch=0.031920
>513_6	p_riboswitch=0.007204
>514_6	p_riboswitch=0.008837
>515_6	p_riboswitch=0.830463
>516_6	p_riboswitch=0.197881
>517_6	p_riboswitch=0.090229
>518_6	p_riboswitch=0.077611
>519_6	p_riboswitch=0.016066
>520_6	p_riboswitch=0.036919
>521_6	p_riboswitch=0.043046
>522_6	p_riboswitch=0.053966
>523_6	p_riboswitch=0.143461
>524_6	p_riboswitch=0.011842
>525_6	p_riboswitch=0.014543
>526_6	p_riboswitch=0.020309
>527_6	p_riboswitch=0.008146
>528_6	p_riboswitch=0.023386
>529_6	p_riboswitch=0.079593
>530_6	p_riboswitch=0.350599
>531_6	p_riboswitch=0.043508
>532_6	p_riboswitch=0.038201
>533_6	p_riboswitch=0.052488
>534_6	p_riboswitch=0.007511
>535_6	p_riboswitch=0.004468
>536_6	p_riboswitch=0.008053
>537_6	p_riboswitch=0.762205
>538_6	p_riboswitch=0.011586
>539_6	p_riboswitch=0.079030
>540_6	p_riboswitch=0.021471
>541_6	p_riboswitch=0.010946
>542_6	p_riboswitch=0.085921
>543_6	p_riboswitch=0.034426
>544_6	p_riboswitch=0.116910
>545_6	p_riboswitch=0.099460
>546_6	p_riboswitch=0.011308
>547_6	p_riboswitch=0.014887
>548_6	p_riboswitch=0.012290
>549_6	p_riboswitch=0.005774
>550_6	p_riboswitch=0.059243
>551_6	p_riboswitch=0.052820
>552_6	p_riboswitch=0.047330
>553_6	p_riboswitch=0.021854
>554_6	p_riboswitch=0.010530
>555_6	p_riboswitch=0.004881
>556_6	p_riboswitch=0.004057
>557_6	p_riboswitch=0.006482
>558_6	p_riboswitch=0.354367
>559_6	p_riboswitch=0.011117
>560_6	p_riboswitch=0.001654
>561_6	p_riboswitch=0.011503
>562_6	p_riboswitch=0.033944
>563_6	p_riboswitch=0.061077
>564_6	p_riboswitch=0.452284
>565_6	p_riboswitch=0.117192
>566_6	p_riboswitch=0.064309
>567_6	p_riboswitch=0.011485
>568_6	p_riboswitch=0.011816
>569_6	p_riboswitch=0.018658
>570_6	p_riboswitch=0.043365
>571_6	p_riboswitch=0.075575
>572_6	p_riboswitch=0.021785
>573_6	p_riboswitch=0.005070
>574_6	p_riboswitch=0.005599
>575_6	p_riboswitch=0.012107
>576_6	p_riboswitch=0.003413
>577_6	p_riboswitch=0.006466
>578_6	p_riboswitch=0.279173
>579_6	p_riboswitch=0.011819
>580_6	p_riboswitch=0.009958
>581_6	p_riboswitch=0.036708
>582_6	p_riboswitch=0.029255
>583_6	p_riboswitch=0.635001
>584_6	p_riboswitch=0.279425
>585_6	p_riboswitch=0.002720
>586_6	p_riboswitch=0.056390
>587_6	p_riboswitch=0.010516
>588_6	p_riboswitch=0.015760
>589_6	p_riboswitch=0.075977
>590_6	p_riboswitch=0.057922
>591_6	p_riboswitch=0.022401
>592_6	p_riboswitch=0.003561
>593_6	p_riboswitch=0.004848
>594_6	p_riboswitch=0.008852
>595_6	p_riboswitch=0.003921
>596_6	p_riboswitch=0.005884
>597_6	p_riboswitch=0.308201
>598_6	p_riboswitch=0.011616
>599_6	p_riboswitch=0.038811
>600_6	p_riboswitch=0.036951
>601_6	p_riboswitch=0.046146
>602_6	p_riboswitch=0.347703
>603_6	p_riboswitch=0.004885
>604_6	p_riboswitch=0.003136
>605_6	p_riboswitch=0.017596
>606_6	p_riboswitch=0.013212
>607_6	p_riboswitch=0.058093
>608_6	p_riboswitch=0.057733
>609_6	p_riboswitch=0.003976
>610_6	p_riboswitch=0.003319
>611_6	p_riboswitch=0.003906
>612_6	p_riboswitch=0.008054
>613_6	p_riboswitch=0.003688
>614_6	p_riboswitch=0.010286
>615_6	p_riboswitch=0.174964
>616_6	p_riboswitch=0.010752
>617_6	p_riboswitch=0.033191
>618_6	p_riboswitch=0.009615
>619_6	p_riboswitch=0.085268
>620_6	p_riboswitch=0.141407
>621_6	p_riboswitch=0.006365
>622_6	p_riboswitch=0.032790
>623_6	p_riboswitch=0.021023
>624_6	p_riboswitch=0.059557
>625_6	p_riboswitch=0.046975
>626_6	p_riboswitch=0.003654
>627_6	p_riboswitch=0.002823
>628_6	p_riboswitch=0.004125
>629_6	p_riboswitch=0.007277
>630_6	p_riboswitch=0.010884
>631_6	p_riboswitch=0.009493
>632_6	p_riboswitch=0.084745
>633_6	p_riboswitch=0.011750
>634_6	p_riboswitch=0.006588
>635_6	p_riboswitch=0.106058
>636_6	p_riboswitch=0.051822
>637_6	p_riboswitch=0.110470
>638_6	p_riboswitch=0.033665
>639_6	p_riboswitch=0.048652
>640_6	p_riboswitch=0.047466
>641_6	p_riboswitch=0.040863
>642_6	p_riboswitch=0.003028
>643_6	p_riboswitch=0.003081
>644_6	p_riboswitch=0.003854
>645_6	p_riboswitch=0.010363
>646_6	p_riboswitch=0.010491
>647_6	p_riboswitch=0.002979
>648_6	p_riboswitch=0.070632
>649_6	p_riboswitch=0.015539
>650_6	p_riboswitch=0.124696
>651_6	p_riboswitch=0.061907
>652_6	p_riboswitch=0.060580
>653_6	p_riboswitch=0.045226
>654_6	p_riboswitch=0.045014
>655_6	p_riboswitch=0.041609
>656_6	p_riboswitch=0.030641
>657_6	p_riboswitch=0.003246
>658_6	p_riboswitch=0.002950
>659_6	p_riboswitch=0.011296
>660_6	p_riboswitch=0.009955
>661_6	p_riboswitch=0.011113
>662_6	p_riboswitch=0.010218
>663_6	p_riboswitch=0.134622
>664_6	p_riboswitch=0.064582
>665_6	p_riboswitch=0.072524
>666_6	p_riboswitch=0.069128
>667_6	p_riboswitch=0.034313
>668_6	p_riboswitch=0.073497
>669_6	p_riboswitch=0.032028
>670_6	p_riboswitch=0.021836
>671_6	p_riboswitch=0.003090
>672_6	p_riboswitch=0.010350
>673_6	p_riboswitch=0.011425
>674_6	p_riboswitch=0.010840
>675_6	p_riboswitch=0.012139
>676_6	p_riboswitch=0.010766
>677_6	p_riboswitch=0.265013
>678_6	p_riboswitch=0.043934
>679_6	p_riboswitch=0.076702
>680_6	p_riboswitch=0.038336
>681_6	p_riboswitch=0.042894
>682_6	p_riboswitch=0.022919
>683_6	p_riboswitch=0.020136
>684_6	p_riboswitch=0.047771
>685_6	p_riboswitch=0.010306
>686_6	p_riboswitch=0.002676
>687_6	p_riboswitch=0.011447
>688_6	p_riboswitch=0.012218
>689_6	p_riboswitch=0.011507
>690_6	p_riboswitch=0.155019
>691_6	p_riboswitch=0.016539
>692_6	p_riboswitch=0.038206
>693_6	p_riboswitch=0.048913
>694_6	p_riboswitch=0.009404
>695_6	p_riboswitch=0.032199
>696_6	p_riboswitch=0.010919
>697_6	p_riboswitch=0.002746
>698_6	p_riboswitch=0.002700
>699_6	p_riboswitch=0.011489
>700_6	p_riboswitch=0.014338
>701_6	p_riboswitch=0.011306
>702_6	p_riboswitch=0.127882
>703_6	p_riboswitch=0.026584
>704_6	p_riboswitch=0.047177
>705_6	p_riboswitch=0.009556
>706_6	p_riboswitch=0.035604
>707_6	p_riboswitch=0.003003
>708_6	p_riboswitch=0.002927
>709_6	p_riboswitch=0.003857
>710_6	p_riboswitch=0.013447
>711_6	p_riboswitch=0.014487
>712_6	p_riboswitch=0.011389
>713_6	p_riboswitch=0.058540
>714_6	p_riboswitch=0.029000
>715_6	p_riboswitch=0.031728
>716_6	p_riboswitch=0.019298
>717_6	p_riboswitch=0.003222
>718_6	p_riboswitch=0.003747
>719_6	p_riboswitch=0.015632
>720_6	p_riboswitch=0.013642
>721_6	p_riboswitch=0.014421
>722_6	p_riboswitch=0.012870
>723_6	p_riboswitch=0.078762
>724_6	p_riboswitch=0.008412
>725_6	p_riboswitch=0.020502
>726_6	p_riboswitch=0.013190
>727_6	p_riboswitch=0.013632
>728_6	p_riboswitch=0.015823
>729_6	p_riboswitch=0.013650
>730_6	p_riboswitch=0.021002
>731_6	p_riboswitch=0.032709
>732_6	p_riboswitch=0.009032
>733_6	p_riboswitch=0.040068
>734_6	p_riboswitch=0.043736
>735_6	p_riboswitch=0.013823
>736_6	p_riboswitch=0.004298
>737_6	p_riboswitch=0.021384
>738_6	p_riboswitch=0.024387
>739_6	p_riboswitch=0.013624
>740_6	p_riboswitch=0.045931
>741_6	p_riboswitch=0.007030
>742_6	p_riboswitch=0.004291
>743_6	p_riboswitch=0.014116
>744_6	p_riboswitch=0.024597
>745_6	p_riboswitch=0.029353
>746_6	p_riboswitch=0.038339
>747_6	p_riboswitch=0.007071
>748_6	p_riboswitch=0.036728
>749_6	p_riboswitch=0.031016
>750_6	p_riboswitch=0.029651
>751_6	p_riboswitch=0.037582
>752_6	p_riboswitch=0.014825
>753_6	p_riboswitch=0.041545
>754_6	p_riboswitch=0.028752
>755_6	p_riboswitch=0.012552
>756_6	p_riboswitch=0.019645
>757_6	p_riboswitch=0.013007
>758_6	p_riboswitch=0.041533
>759_6	p_riboswitch=0.038535
>760_6	p_riboswitch=0.066162
>761_6	p_riboswitch=0.031920
>762_6	p_riboswitch=0.007204
>763_6	p_riboswitch=0.008837
>764_6	p_riboswitch=0.830463
>765_6	p_riboswitch=0.197881
>766_6	p_riboswitch=0.090229
>767_6	p_riboswitch=0.077611
>768_6	p_riboswitch=0.016066
>769_6	p_riboswitch=0.036919
>770_6	p_riboswitch=0.043046
>771_6	p_riboswitch=0.053966
>772_6	p_riboswitch=0.143461
>773_6	p_riboswitch=0.011842
>774_6	p_riboswitch=0.014543
>775_6	p_riboswitch=0.020309
>776_6	p_riboswitch=0.008146
