family,species,tree,seq_id
Oscillospiraceae,Faecalibacterium gallinarum,RF02680,"BQKV01000007.1/63849-63748_Faecalibacterium_gallinarum_DNA,_sequence007,_whole_genome_shotgun_sequence_RF02680"
Thermodesulfobiaceae,Coprothermobacter proteolyticus DSM 5265,RF03165,"CP001145.1/87319-87389_Coprothermobacter_proteolyticus_DSM_5265,_complete_genome_RF03165"
Balneolaceae,Gracilimonas sediminicola,RF03165,"JANDBC010000001.1/1793769-1793697_Gracilimonas_sediminicola_strain_CAU_1638_contig1,_whole_genome_shotgun_sequence_RF03165"
Desulfuromonadaceae,Desulfuromonas acetexigens,RF03168,"VJVV01000021.1/1873-1951_Desulfuromonas_acetexigens_strain_2873_21,_whole_genome_shotgun_sequence_RF03168"
Geobacteraceae,Geobacter metallireducens GS-15,RF03168,"CP000148.1/827291-827208_Geobacter_metallireducens_GS-15,_complete_genome_RF03168"
Pelobacteraceae,Pelobacter propionicus DSM 2379,RF03168,"CP000482.1/2448470-2448395_Pelobacter_propionicus_DSM_2379,_complete_genome_RF03168"
Desulfobulbaceae,Candidatus Electrothrix marina,RF03168,"MTKS01000025.1/11966-11888_Candidatus_Electrothrix_marina_isolate_A5_Contig1025,_whole_genome_shotgun_sequence_RF03168"
Micrococcaceae,Arthrobacter oryzae,RF03168,"RBED01000071.1/6703-6628_Arthrobacter_oryzae_strain_TNB02_contig071,_whole_genome_shotgun_sequence_RF03168"
Bifidobacteriaceae,Bifidobacterium merycicum,RF02885,"JGZC01000001.1/12658-12716_Bifidobacterium_merycicum_strain_LMG_11341_Contig01,_whole_genome_shotgun_sequence_RF02885"
Prochlorococcaceae,Prochlorococcus marinus str. MIT 9211,RF01704,CP000878.1/553204-553260_Prochlorococcus_marinus_str._MIT_9211_genome_RF01704
Synechococcaceae,Synechococcus sp. KORDI-100,RF01704,"CP006269.1/1873386-1873445_Synechococcus_sp._KORDI-100,_complete_genome_RF01704"
Clostridiaceae,Clostridium aceticum,RF03166,"CP009687.1/4025626-4025438_Clostridium_aceticum_strain_DSM_1496,_complete_genome_RF03166"
Peptococcaceae,Desulfitobacterium metallireducens DSM 15288,RF03166,"CP007032.1/2398809-2398620_Desulfitobacterium_metallireducens_DSM_15288,_complete_genome_RF03166"
Lachnospiraceae,Coprococcus comes ATCC 27758,RF03166,"GG662006.1/137623-137449_Coprococcus_comes_ATCC_27758_genomic_scaffold_Scfld1,_whole_genome_shotgun_sequence_RF03166"
Thermoanaerobacteraceae,Carboxydothermus hydrogenoformans Z-2901,RF03166,"CP000141.1/423711-423891_Carboxydothermus_hydrogenoformans_Z-2901,_complete_genome_RF03166"
Desulfitobacteriaceae,Desulfosporosinus sp. HMP52,RF03166,"JMGA01000018.1/122277-122466_Desulfosporosinus_sp._HMP52_Desulfosporosinus_HMP51_contig_18,_whole_genome_shotgun_sequence_RF03166"
Natronincolaceae,Alkaliphilus sp. B6464,RF03166,"CP058557.1/1210768-1210954_Alkaliphilus_sp._B6464_chromosome,_complete_genome_RF03166"
Peptostreptococcaceae,Peptacetobacter hominis,RF03166,"SGJB01000007.1/78997-78823_Peptacetobacter_hominis_strain_ZHW00191_contig7,_whole_genome_shotgun_sequence_RF03166"
Bacillaceae,Halalkalibacter oceani,RF03166,"JAMBOL010000013.1/81773-81580_Halalkalibacter_oceani_strain_214.1.1_NODE_13_,_whole_genome_shotgun_sequence_RF03166"
Clostridiaceae,Clostridiaceae bacterium AF18-31LB,RF03166,"QUGS01000003.1/228583-228764_Clostridiaceae_bacterium_AF18-31LB_AF18-31LB.Scaf3,_whole_genome_shotgun_sequence_RF03166"
Streptococcaceae,Streptococcus australis ATCC 700641,RF01054,"GL636091.1/1265427-1265563_Streptococcus_australis_ATCC_700641_genomic_scaffold_SCAFFOLD1,_whole_genome_shotgun_sequence_RF01054"
Enterococcaceae,Pilibacter termitis,RF01054,"FUXI01000005.1/90928-91028_Pilibacter_termitis_strain_ATCC_BAA-1030_genome_assembly,_contig:_EI49DRAFT_scaffold00005.5,_whole_genome_shotgun_sequence_RF01054"
Anaerolineaceae,Thermanaerothrix daxensis,RF03169,"LGKO01000002.1/92020-91911_Thermanaerothrix_daxensis_strain_GNS-1_contig_1,_whole_genome_shotgun_sequence_RF03169"
Thermaceae,Oceanithermus profundus DSM 14977,RF03169,"CP002361.1/164383-164467_Oceanithermus_profundus_DSM_14977,_complete_genome_RF03169"
Halobacteroidaceae,Selenihalanaerobacter shriftii,RF03169,"FUWM01000004.1/58611-58524_Selenihalanaerobacter_shriftii_strain_ATCC_BAA-73_genome_assembly,_contig:_EI55DRAFT_scaffold00002.2,_whole_genome_shotgun_sequence_RF03169"
Synergistaceae,Acetomicrobium mobile DSM 13181,RF03169,"CP003198.1/2062967-2062878_Acetomicrobium_mobile_DSM_13181_chromosome,_complete_genome_RF03169"
Geodermatophilaceae,Geodermatophilus sp. LHW52908,RF03169,"QVQH01000047.1/13539-13655_Geodermatophilus_sp._LHW52908_scaffold47,_whole_genome_shotgun_sequence_RF03169"
Micromonosporaceae,Actinoplanes sp. TBRC 11911,RF03169,"JABBNC010000033.1/41288-41377_Actinoplanes_sp._TBRC_11911_33,_whole_genome_shotgun_sequence_RF03169"
Nocardioidaceae,Nocardioides panacis,RF03169,"CP077062.1/4881509-4881595_Nocardioides_panacis_strain_G188_chromosome,_complete_genome_RF03169"
Kribbellaceae,Kribbella sp. VKM Ac-2527,RF03169,"SNWQ01000005.1/347605-347524_Kribbella_sp._VKM_Ac-2527_Ga0310561_105,_whole_genome_shotgun_sequence_RF03169"
Nakamurellaceae,Nakamurella sp. PAMC28650,RF03169,"CP060298.1/1346018-1346104_Nakamurella_sp._PAMC28650_chromosome,_complete_genome_RF03169"
Streptomycetaceae,Streptomyces sp. NP160,RF03169,"VDMJ01000016.1/90393-90480_Streptomyces_sp._NP160_Streptomyces_NP160_16,_whole_genome_shotgun_sequence_RF03169"
Egibacteraceae,Egibacter rhizosphaerae,RF03169,"CP036402.1/2685614-2685723_Egibacter_rhizosphaerae_strain_EGI_80759_chromosome,_complete_genome_RF03169"
Egicoccaceae,Egicoccus halophilus,RF03169,"BMHA01000005.1/299908-299993_Egicoccus_halophilus_CGMCC_1.14988_DNA,_sequence05,_whole_genome_shotgun_sequence_RF03169"
Iamiaceae,Actinomarinicola tropica,RF03169,"CP045851.1/3576302-3576220_Actinomarinicola_tropica_strain_SCSIO_58843_chromosome,_complete_genome_RF03169"
Rubrobacteraceae,Rubrobacter tropicus,RF03169,"CP045119.1/52174-52256_Rubrobacter_tropicus_strain_SCSIO_52909_chromosome,_complete_genome_RF03169"
Syntrophomonadaceae,Syntrophomonadaceae bacterium,RF03169,"JAGXSE010000006.1/19244-19158_MAG:_Syntrophomonadaceae_bacterium_isolate_CROMO_A_165_c_000000000974,_whole_genome_shotgun_sequence_RF03169"
Halarsenatibacteraceae,Halonatronomonas betaini,RF03169,"JADPIE010000002.1/275936-275846_Halonatronomonas_betaini_strain_Z-7014_NODE_2_length_498932_cov_194.442586,_whole_genome_shotgun_sequence_RF03169"
Moorellaceae,Thermanaeromonas sp. C210,RF03169,"BLWF01000003.1/565219-565133_Thermanaeromonas_sp._C210_DNA,_scaffold03,_whole_genome_shotgun_sequence_RF03169"
Acidaminobacteraceae,Acidaminobacter hydrogenoformans DSM 2784,RF03169,"FMWL01000001.1/234001-234087_Acidaminobacter_hydrogenoformans_DSM_2784_genome_assembly,_contig:_Ga0056067_scaffold00001.1,_whole_genome_shotgun_sequence_RF03169"
Kineosporiaceae,Angustibacter sp. Root456,RF03169,"LMER01000001.1/643399-643315_Angustibacter_sp._Root456_contig_1,_whole_genome_shotgun_sequence_RF03169"
Coriobacteriaceae,Coriobacteriaceae bacterium EMTCatB1,RF03169,"BDLO01000001.1/1664469-1664555_Coriobacteriaceae_bacterium_EMTCatB1_DNA,_scaffold1,_whole_genome_shotgun_sequence_RF03169"
Streptosporangiaceae,Planomonospora sphaerica,RF03169,"BDCX01000022.1/70477-70590_Planomonospora_sphaerica_DNA,_contig:_NODE_22_L87734_C26,_whole_genome_shotgun_sequence_RF03169"
Sphaerobacteraceae,Sphaerobacter thermophilus DSM 20745,RF03169,"CP001823.1/2685771-2685688_Sphaerobacter_thermophilus_DSM_20745_chromosome_1,_complete_sequence_RF03169"
Gemmatimonadaceae,Roseisolibacter agri,RF03169,"BRXS01000006.1/420617-420715_Roseisolibacter_agri_AW1220_DNA,_sequence06,_whole_genome_shotgun_sequence_RF03169"
Comamonadaceae,Variovorax gossypii,RF03054,"RXOE01000004.1/115999-116066_Variovorax_gossypii_strain_DSM_100435_8,_whole_genome_shotgun_sequence_RF03054"
Burkholderiaceae,Cupriavidus basilensis,RF03054,"CP010537.1/3575366-3575444_Cupriavidus_basilensis_strain_4G11_chromosome_secondary,_complete_sequence_RF03054"
Alcaligenaceae,Derxia gummosa DSM 723,RF03054,"NZ_AXWS01000008.1/726978-726891_Derxia_gummosa_DSM_723_H566DRAFT_scaffold00002.2_C,_whole_genome_shotgun_sequence_RF03054"
Oxalobacteraceae,Herbaspirillum seropedicae SmR1,RF03054,"CP002039.1/499293-499361_Herbaspirillum_seropedicae_SmR1,_complete_genome_RF03054"
Sphaerotilaceae,Piscinibacter sp. HJYY11,RF03054,"JAERQZ010000001.1/2746738-2746653_Piscinibacter_sp._HJYY11_contig1,_whole_genome_shotgun_sequence_RF03054"
Rhodocyclaceae,Azoarcus indigens,RF03054,"SNVV01000007.1/197723-197788_Azoarcus_indigens_strain_DSM_12121_Ga0215687_107,_whole_genome_shotgun_sequence_RF03054"
Zoogloeaceae,Uliginosibacterium sp. TH139,RF03054,"PKRR01000003.1/124484-124547_Uliginosibacterium_sp._TH139_NODE_3_length_607203_cov_449.677124,_whole_genome_shotgun_sequence_RF03054"
Neisseriaceae,Craterilacuibacter sinensis,RF03054,"WSSB01000007.1/11390-11449_Craterilacuibacter_sinensis_strain_B2N2-7_Scaffold7,_whole_genome_shotgun_sequence_RF03054"
Paracoccaceae,Paracoccus aestuariivivens,RF03054,"WMIE01000001.1/792189-792140_Paracoccus_aestuariivivens_strain_NBRC_111993_Scaffold1,_whole_genome_shotgun_sequence_RF03054"
Rhodobacteraceae,Haematobacter massiliensis,RF03054,"JGYG01000014.1/36443-36490_Haematobacter_massiliensis_strain_CCUG_47968_contig14_scaffold13,_whole_genome_shotgun_sequence_RF03054"
Roseobacteraceae,Roseibacterium persicicum,RF03054,"JAAZQQ010000002.1/753214-753163_Roseibacterium_persicicum_strain_KMU-115_contig2,_whole_genome_shotgun_sequence_RF03054"
Rhizobiaceae,Sinorhizobium meliloti 1021,RF03054,AL591985.1/153299-153230_Sinorhizobium_meliloti_1021_plasmid_pSymB_RF03054
Acetobacteraceae,Acetobacter pomorum DM001,RF03054,"AEUP01000004.1/254705-254755_Acetobacter_pomorum_DM001_Contig00005,_whole_genome_shotgun_sequence_RF03054"
Rhodospirillaceae,Telmatospirillum siberiense,RF03054,"PIUM01000054.1/21240-21182_Telmatospirillum_siberiense_strain_26-4b1_NODE_54_length_21297_cov_14.638440,_whole_genome_shotgun_sequence_RF03054"
Phyllobacteriaceae,Chelativorans petroleitrophicus,RF03054,"JAODNV010000025.1/4883-4932_Chelativorans_petroleitrophicus_strain_SCAU_2101_contig25,_whole_genome_shotgun_sequence_RF03054"
Aurantimonadaceae,Jiella endophytica,RF03054,"SOZD01000003.1/514028-514077_Jiella_endophytica_strain_CBS5Q-3_Scaffold3_1,_whole_genome_shotgun_sequence_RF03054"
Segnochrobactraceae,Segnochrobactrum spirostomi,RF03054,"VWNA01000003.1/703138-703185_Segnochrobactrum_spirostomi_strain_Sp-1_Segnochrobactrum_spirostomi_Sp1(T)_Contig4,_whole_genome_shotgun_sequence_RF03054"
Stappiaceae,Labrenzia sp. 011,RF03054,"QCYM01000017.1/48775-48826_Labrenzia_sp._011_NODE_18_length_94768_cov_25.2937,_whole_genome_shotgun_sequence_RF03054"
Acidimicrobiaceae,Ilumatobacter fluminis,RF03054,"SOAU01000001.1/2420734-2420784_Ilumatobacter_fluminis_strain_DSM_18936_Ga0074717_11,_whole_genome_shotgun_sequence_RF03054"
Lactobacillaceae,Lactobacillus iners DSM 13335,RF03071,"GG700805.1/12696-12744_Lactobacillus_iners_DSM_13335_genomic_scaffold_SCAFFOLD5,_whole_genome_shotgun_sequence_RF03071"
Eubacteriaceae,Alkalibaculum bacchi,RF03071,"QNRX01000010.1/52232-52181_Alkalibaculum_bacchi_strain_DSM_22112_Ga0244545_110,_whole_genome_shotgun_sequence_RF03071"
Desulfocucumaceae,Desulfocucumis palustris,RF03071,"BFAV01000073.1/14412-14361_Desulfocucumis_palustris_NAW-5_DNA,_NODE_73,_whole_genome_shotgun_sequence_RF03071"
Vallitaleaceae,Vallitaleaceae bacterium,RF03071,"JACMKR010000225.1/477-420_MAG:_Vallitaleaceae_bacterium_isolate_ES-bin-238_ES-bin-238-contig-k141_3182851,_whole_genome_shotgun_sequence_RF03071"
Rivulariaceae,Rivularia sp. PCC 7116,RF01739,"CP003549.1/8619334-8619423_Rivularia_sp._PCC_7116,_complete_genome._RF01739"
Prochlorotrichaceae,Prochlorothrix hollandica PCC 9006,RF01739,"AJTX02000005.1/76440-76517_Prochlorothrix_hollandica_PCC_9006_=_CALU_1027_contig_9,_whole_genome_shotgun_sequence._RF01739"
Leptolyngbyaceae,Leptolyngbya sp. Heron Island J,RF01739,"AWNH01000036.1/87491-87386_Leptolyngbya_sp._Heron_Island_J,_whole_genome_shotgun_sequence._RF01739"
Pseudanabaenaceae,Limnothrix sp. P13C2,RF01739,"MBRF01000026.1/127229-127074_Limnothrix_sp._P13C2_contig_5,_whole_genome_shotgun_sequence._RF01739"
Tolypothrichaceae,Tolypothrix bouteillei VB521301,RF01739,"JHEG04000001.1/8258068-8258159_JHEG04000001.1_Tolypothrix_bouteillei_VB521301_NODE_1_length_9494340_cov_10.278967,_whole_genome_shotgun_sequence_RF01739"
Trichocoleusaceae,Trichocoleus sp. FACHB-262,RF01739,"JACJPK010000038.1/10677-10773_JACJPK010000038.1_Trichocoleus_sp._FACHB-262_contig38,_whole_genome_shotgun_sequence_RF01739"
Petrachlorosaceae,Petrachloros mirabilis ULC683,RF01739,"WVIC01000017.1/82050-81963_WVIC01000017.1_Petrachloros_mirabilis_ULC683_NODE_259_length_84509_cov_121.546155,_whole_genome_shotgun_sequence_RF01739"
Oculatellaceae,Oculatella sp. FACHB-28,RF01739,"JACJPJ010000066.1/109656-109739_JACJPJ010000066.1_Oculatella_sp._FACHB-28_contig66,_whole_genome_shotgun_sequence_RF01739"
Hyellaceae,Waterburya agarophytonicola KI4,RF01739,"JADWDC010000052.1/1673-1748_JADWDC010000052.1_Waterburya_agarophytonicola_KI4_NODE_316_length_34448_cov_317.579071,_whole_genome_shotgun_sequence_RF01739"
Nodosilineaceae,Nodosilinea sp. LEGE 07088,RF01739,"JADEWX010000017.1/56176-56122_JADEWX010000017.1_Nodosilinea_sp._LEGE_07088_NODE_38_length_64631_cov_48.061,_whole_genome_shotgun_sequence_RF01739"
Cymatolegaceae,Leptothoe spongobia TAU-MAC 1115,RF01739,"JADOES010000044.1/11710-11814_JADOES010000044.1_Leptothoe_spongobia_TAU-MAC_1115_scaffold44_cov0,_whole_genome_shotgun_sequence_RF01739"
Acaryochloridaceae,Acaryochloris marina S15,RF01739,"CP064923.1/5373837-5373755_CP064923.1_Acaryochloris_marina_S15_chromosome,_complete_genome_RF01739"
Coleofasciculaceae,Coleofasciculus sp. LEGE 07092,RF01739,"JADEWY010000145.1/6855-6942_JADEWY010000145.1_Coleofasciculus_sp._LEGE_07092_NODE_310_length_15246_cov_12.204,_whole_genome_shotgun_sequence_RF01739"
Gloeomargaritaceae,Gloeomargaritaceae cyanobacterium C42_A2020_066,RF01739,"JACYLR010000069.1/13036-13106_JACYLR010000069.1_MAG:_Gloeomargaritaceae_cyanobacterium_C42_A2020_066_NODE_5700_length_14360_cov_5.004754,_whole_genome_shotgun_sequence_RF01739"
Oscillatoriaceae,Phormidium tenue NIES-30,RF01739,"MRCG01000004.1/147914-147989_Phormidium_tenue_NIES-30_NIES-30_Scaffold_4,_whole_genome_shotgun_sequence._RF01739"
Microcoleaceae,Microcoleus sp. PCC 7113,RF01739,"CP003630.1/5705991-5706069_Microcoleus_sp._PCC_7113,_complete_genome._RF01739"
Desertifilaceae,Desertifilum sp. IPPAS B-1220,RF01739,"MJGC01000077.1/181212-181149_Desertifilum_sp._IPPAS_B-1220_NODE_4_length_194086_cov_34.7704,_whole_genome_shotgun_sequence._RF01739"
Chroococcaceae,Geminocystis sp. NIES-3708,RF01739,"AP014815.1/506722-506779_Geminocystis_sp._NIES-3708_DNA,_complete_genome._RF01739"
Cyanobacteriaceae,Cyanobacterium aponinum PCC 10605,RF01739,"CP003947.1/2190232-2190293_Cyanobacterium_aponinum_PCC_10605,_complete_genome._RF01739"
Leptolyngbyaceae,Leptolyngbyaceae cyanobacterium T60_A2020_046,RF01739,"JACYME010000151.1/34147-34063_JACYME010000151.1_MAG:_Leptolyngbyaceae_cyanobacterium_T60_A2020_046_NODE_355_length_69882_cov_171.638,_whole_genome_shotgun_sequence_RF01739"
Aerosakkonemataceae,Aerosakkonema funiforme FACHB-1375,RF01739,"JACJPW010000060.1/30799-30714_JACJPW010000060.1_Aerosakkonema_funiforme_FACHB-1375_contig60,_whole_genome_shotgun_sequence_RF01739"
Aphanothecaceae,Aphanothece sacrum FPU1,RF01739,"BDQK01000006.1/121592-121668_BDQK01000006.1_Aphanothece_sacrum_FPU1_DNA,_contig:_ASFPU1_contig_006,_whole_genome_shotgun_sequence_RF01739"
Geminocystaceae,Geminocystis sp. M7585_C2015_104,RF01739,"DVEF01000015.1/28750-28810_DVEF01000015.1_MAG_TPA_asm:_Geminocystis_sp._M7585_C2015_104_k141_979451_length_82451_cov_18.0000,_whole_genome_shotgun_sequence_RF01739"
Entophysalidaceae,Chlorogloea sp. CCALA 695,RF01739,"PVWN01000037.1/15436-15360_PVWN01000037.1_Chlorogloea_sp._CCALA_695_NODE_57_length_44003_cov_9.88285_ID_65681,_whole_genome_shotgun_sequence_RF01739"
Gomphosphaeriaceae,Gomphosphaeria aponina SAG 52.96 = DSM 107014,RF01739,"JADQBC010000028.1/17496-17561_JADQBC010000028.1_MAG:_Gomphosphaeria_aponina_SAG_52.96_=_DSM_107014_isolate_JP213_k141_14717,_whole_genome_shotgun_sequence_RF01739"
Pseudanabaenaceae,Pseudanabaenaceae cyanobacterium LEGE 13415,RF01739,"JADEXW010000233.1/1024-964_JADEXW010000233.1_Pseudanabaenaceae_cyanobacterium_LEGE_13415_NODE_526_length_7807_cov_2.80078,_whole_genome_shotgun_sequence_RF01739"
Oscillatoriaceae,Oscillatoriaceae cyanobacterium M7585_C2015_266,RF01739,"DVEG01000025.1/229137-229050_DVEG01000025.1_MAG_TPA_asm:_Oscillatoriaceae_cyanobacterium_M7585_C2015_266_k141_1026000_length_248514_cov_75.0312,_whole_genome_shotgun_sequence_RF01739"
Nostocaceae,Nostoc punctiforme PCC 73102,RF01689,"CP001037.1/8005242-8005331_Nostoc_punctiforme_PCC_73102,_complete_genome._RF01689"
Rhodothermaceae,Salinibacter ruber DSM 13855,RF01689,"CP000159.1/399407-399483_Salinibacter_ruber_DSM_13855,_complete_genome._RF01689"
Spirochaetaceae,Spirochaeta americana,RF01689,"FTMS01000016.1/30131-30209_Spirochaeta_americana_strain_ASpG1_genome_assembly,_contig:_Ga0071122_116_RF01689"
Victivallaceae,Victivallis vadensis,RF01689,"QEKH01000029.1/41849-41929_QEKH01000029.1_Victivallis_vadensis_strain_DSM_14823_Ga0215691_129,_whole_genome_shotgun_sequence_RF01689"
Pelagibacteraceae,Pelagibacteraceae bacterium,RF01689,"JAGFWC010000055.1/1981-1892_JAGFWC010000055.1_MAG:_Pelagibacteraceae_bacterium_isolate_IIa.A_ETNP2013_S06_SV51_100m_MAG_01_IIa.A_ENTP2013_S06_SV51_100m_MAG_01--55,_whole_genome_shotgun_sequence_RF01689"
Bacteriovoracaceae,Bacteriovorax stolpii,RF01689,"CP025704.1/679256-679330_CP025704.1_Bacteriovorax_stolpii_strain_DSM_12778_chromosome,_complete_genome_RF01689"
Halobacteriovoraceae,Halobacteriovorax sp. DA5,RF01689,"PPDJ01000001.1/170712-170634_PPDJ01000001.1_Halobacteriovorax_sp._DA5_contig1,_whole_genome_shotgun_sequence_RF01689"
Oligoflexaceae,Oligoflexus sp.,RF01689,"JACMOC010000029.1/75043-74957_JACMOC010000029.1_MAG:_Oligoflexus_sp._isolate_LF-bin-20_FL-bin-20-contig-k141_639631,_whole_genome_shotgun_sequence_RF01689"
Fusobacteriaceae,Fusobacterium sp. CAG:815,RF01689,"FR901969.1/4150-4228_FR901969.1_Fusobacterium_sp._CAG:815_genomic_scaffold,_scf8,_whole_genome_shotgun_sequence_RF01689"
Acidobacteriaceae,Terriglobus albidus,RF01689,"CP042806.1/6318900-6318976_CP042806.1_Terriglobus_albidus_strain_ORNL_chromosome,_complete_genome_RF01689"
Armatimonadaceae,Armatimonas rosea,RF01689,"JACHGW010000003.1/560997-560908_JACHGW010000003.1_Armatimonas_rosea_strain_DSM_23562_Ga0415226_03,_whole_genome_shotgun_sequence_RF01689"
Acholeplasmataceae,Acholeplasma brassicae,RF01689,FO681348.1/1831287-1831213_complete_chromosome_Acholeplasma_brassicae._RF01689
Petrotogaceae,Tepiditoga spiralis,RF01689,"AP018712.1/1319005-1319075_AP018712.1_Tepiditoga_spiralis_sy52_DNA,_complete_genome_RF01689"
Nocardiaceae,Rhodococcus sp. ABRD24,RF01689,"CP035319.1/4628295-4628391_CP035319.1_Rhodococcus_sp._ABRD24_chromosome,_complete_genome_RF01689"
Corynebacteriaceae,Corynebacterium gerontici,RF01689,"CP033897.1/990409-990488_CP033897.1_Corynebacterium_gerontici_strain_W8_chromosome,_complete_genome_RF01689"
Nanopelagicaceae,Candidatus Planktophila vernalis,RF01689,"CP016776.1/596532-596467_CP016776.1_Candidatus_Planktophila_vernalis,_complete_genome_RF01689"
Ruaniaceae,Ruania alkalisoli,RF01689,"CP063169.1/2929688-2929615_CP063169.1_Ruania_alkalisoli_strain_RN3S43_chromosome,_complete_genome_RF01689"
Propionibacteriaceae,Naumannella cuiyingiana,RF01689,"JACBZS010000001.1/1347567-1347494_JACBZS010000001.1_Naumannella_cuiyingiana_strain_DSM_103164_Ga0374045_01,_whole_genome_shotgun_sequence_RF01689"
Eggerthellaceae,Gordonibacter sp. 28C,RF01689,"PPTR01000003.1/263954-263853_PPTR01000003.1_Gordonibacter_sp._28C_NODE_3,_whole_genome_shotgun_sequence_RF01689"
Trueperaceae,Truepera sp.,RF01689,"JAGXSJ010000137.1/52999-52918_JAGXSJ010000137.1_MAG:_Truepera_sp._isolate_CROMO_A_191_c_000000847754,_whole_genome_shotgun_sequence_RF01689"
Sporolactobacillaceae,Sporolactobacillus shoreae,RF01689,"SRJD01000002.1/168153-168224_SRJD01000002.1_Sporolactobacillus_shoreae_strain_BK92_NODE_2_length_311705_cov_121.183,_whole_genome_shotgun_sequence_RF01689"
Abditibacteriaceae,Abditibacterium utsteinense,RF01689,"NIGF01000007.1/154673-154571_NIGF01000007.1_Abditibacterium_utsteinense_strain_LMG_29911_Contig007,_whole_genome_shotgun_sequence_RF01689"
Tichowtungiaceae,Tichowtungia aerotolerans,RF01689,"CP047593.1/3817464-3817539_CP047593.1_Tichowtungia_aerotolerans_strain_S-5007_chromosome,_complete_genome_RF01689"
Aphanizomenonaceae,Nodularia spumigena UHCC 0039,RF01689,"CP020114.1/3895612-3895729_CP020114.1_Nodularia_spumigena_UHCC_0039_chromosome,_complete_genome_RF01689"
Calotrichaceae,Calothrix sp. C42_A2020_038,RF01689,"JACYLQ010000034.1/138777-138696_JACYLQ010000034.1_MAG:_Calothrix_sp._C42_A2020_038_NODE_178_length_237990_cov_82.550453,_whole_genome_shotgun_sequence_RF01689"
Fortieaceae,aff. Roholtiella sp. LEGE 12411,RF01689,"JADEXR010000014.1/18963-19053_JADEXR010000014.1_Aff._Roholtiella_sp._LEGE_12411_NODE_14_length_67782_cov_28.075885,_whole_genome_shotgun_sequence_RF01689"
Merismopediaceae,Merismopedia glauca CCAP 1448/3,RF01689,"PVWJ01000025.1/21481-21575_PVWJ01000025.1_Merismopedia_glauca_CCAP_1448/3_NODE_86_length_46929_cov_6.69568_ID_36115,_whole_genome_shotgun_sequence_RF01689"
Termititenacaceae,Termititenax aidoneus,RF01689,"BGZN01000023.1/2116-2195_BGZN01000023.1_Candidatus_Termititenax_aidoneus_NkOx7-01_DNA,_TG2_NkOx7-01_NODE_023,_whole_genome_shotgun_sequence_RF01689"
Coriobacteriaceae,Coriobacteriaceae bacterium CHKCI002,RF01689,"FCNB01000027.1/1740-1640_Coriobacteriaceae_bacterium_CHKCI002_isolate_CHKC2_genome_assembly,_contig:_{contig27}_RF01689"
Salisaetaceae,Longibacter salinarum,RF01689,"PDEQ01000005.1/375818-375896_PDEQ01000005.1_Longibacter_salinarum_strain_KCTC_52045_Longibacter_salinarum_contig_00005,_whole_genome_shotgun_sequence_RF01689"
Muribaculaceae,Muribaculaceae bacterium Isolate-037,RF01689,"RIAZ01000004.1/200630-200707_RIAZ01000004.1_Muribaculaceae_bacterium_Isolate-037_(Harlan)_NODE_4_length_217480_cov_76.8806,_whole_genome_shotgun_sequence_RF01689"
