qseqid,y_true_idx,y_true_name,y_pred_idx,y_pred_name,p_riboswitch,qseqid_full,id_global,group_id,qid_short
query_22,0,genomicbackground,0,genomicbackground,0.0002957227698061615,22_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_95_off_105_percentage_0_position_0-0 genomicbackground,22,2,22_2
query_23,0,genomicbackground,0,genomicbackground,0.0029935878701508045,23_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_0_percentage_0_position_0-0 genomicbackground,23,2,23_2
query_24,0,genomicbackground,0,genomicbackground,0.004175238311290741,24_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_5_percentage_0_position_0-0 genomicbackground,24,2,24_2
query_25,0,genomicbackground,0,genomicbackground,0.09683571010828018,25_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_10_percentage_0_position_0-0 genomicbackground,25,2,25_2
query_26,0,genomicbackground,0,genomicbackground,0.16140182316303253,26_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_15_percentage_0_position_0-0 genomicbackground,26,2,26_2
query_27,0,genomicbackground,0,genomicbackground,0.013920215889811516,27_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_20_percentage_0_position_0-0 genomicbackground,27,2,27_2
query_28,0,genomicbackground,0,genomicbackground,0.060652874410152435,28_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_25_percentage_0_position_0-0 genomicbackground,28,2,28_2
query_29,0,genomicbackground,0,genomicbackground,0.05151143670082092,29_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_30_percentage_0_position_0-0 genomicbackground,29,2,29_2
query_30,0,genomicbackground,0,genomicbackground,0.10269281268119812,30_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_35_percentage_0_position_0-0 genomicbackground,30,2,30_2
query_31,0,genomicbackground,0,genomicbackground,0.02935406193137169,31_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_40_percentage_0_position_0-0 genomicbackground,31,2,31_2
query_32,0,genomicbackground,0,genomicbackground,0.02457248605787754,32_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_45_percentage_0_position_0-0 genomicbackground,32,2,32_2
query_33,0,genomicbackground,0,genomicbackground,0.011813882738351822,33_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_50_percentage_0_position_0-0 genomicbackground,33,2,33_2
query_34,0,genomicbackground,0,genomicbackground,0.009719999507069588,34_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_55_percentage_0_position_0-0 genomicbackground,34,2,34_2
query_35,0,genomicbackground,0,genomicbackground,0.03311731293797493,35_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_60_percentage_0_position_0-0 genomicbackground,35,2,35_2
query_36,0,genomicbackground,0,genomicbackground,0.10364235192537308,36_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_65_percentage_0_position_0-0 genomicbackground,36,2,36_2
query_37,0,genomicbackground,0,genomicbackground,0.0035174377262592316,37_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_70_percentage_0_position_0-0 genomicbackground,37,2,37_2
query_38,0,genomicbackground,0,genomicbackground,0.014739727601408958,38_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_75_percentage_0_position_0-0 genomicbackground,38,2,38_2
query_39,0,genomicbackground,0,genomicbackground,0.02115587145090103,39_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_80_percentage_0_position_0-0 genomicbackground,39,2,39_2
query_40,0,genomicbackground,0,genomicbackground,0.013190492056310177,40_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_85_percentage_0_position_0-0 genomicbackground,40,2,40_2
query_41,0,genomicbackground,0,genomicbackground,0.00038753467379137874,41_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_90_percentage_0_position_0-0 genomicbackground,41,2,41_2
query_42,0,genomicbackground,0,genomicbackground,0.0003841349098365754,42_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_95_percentage_0_position_0-0 genomicbackground,42,2,42_2
query_43,0,genomicbackground,0,genomicbackground,0.0003150862758047879,43_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_100_off_100_percentage_0_position_0-0 genomicbackground,43,2,43_2
query_44,0,genomicbackground,0,genomicbackground,0.003004109486937523,44_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_0_percentage_0_position_0-0 genomicbackground,44,2,44_2
query_45,0,genomicbackground,0,genomicbackground,0.13487637042999268,45_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_5_percentage_0_position_0-0 genomicbackground,45,2,45_2
query_46,0,genomicbackground,0,genomicbackground,0.07057270407676697,46_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_10_percentage_0_position_0-0 genomicbackground,46,2,46_2
query_47,0,genomicbackground,0,genomicbackground,0.09608125686645508,47_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_15_percentage_0_position_0-0 genomicbackground,47,2,47_2
query_48,0,genomicbackground,0,genomicbackground,0.016964441165328026,48_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_20_percentage_0_position_0-0 genomicbackground,48,2,48_2
query_49,0,genomicbackground,0,genomicbackground,0.03394721820950508,49_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_25_percentage_0_position_0-0 genomicbackground,49,2,49_2
query_50,0,genomicbackground,0,genomicbackground,0.18919534981250763,50_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_30_percentage_0_position_0-0 genomicbackground,50,2,50_2
query_51,0,genomicbackground,0,genomicbackground,0.03323214128613472,51_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_35_percentage_0_position_0-0 genomicbackground,51,2,51_2
query_52,0,genomicbackground,0,genomicbackground,0.01812409795820713,52_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_40_percentage_0_position_0-0 genomicbackground,52,2,52_2
query_53,0,genomicbackground,0,genomicbackground,0.014740290120244026,53_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_45_percentage_0_position_0-0 genomicbackground,53,2,53_2
query_54,0,genomicbackground,0,genomicbackground,0.010692953132092953,54_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_50_percentage_0_position_0-0 genomicbackground,54,2,54_2
query_55,0,genomicbackground,0,genomicbackground,0.018623728305101395,55_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_55_percentage_0_position_0-0 genomicbackground,55,2,55_2
query_56,0,genomicbackground,0,genomicbackground,0.013474293984472752,56_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_60_percentage_0_position_0-0 genomicbackground,56,2,56_2
query_57,0,genomicbackground,0,genomicbackground,0.014385922811925411,57_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_65_percentage_0_position_0-0 genomicbackground,57,2,57_2
query_58,0,genomicbackground,0,genomicbackground,0.03651905059814453,58_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_70_percentage_0_position_0-0 genomicbackground,58,2,58_2
query_59,0,genomicbackground,0,genomicbackground,0.024274317547678947,59_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_75_percentage_0_position_0-0 genomicbackground,59,2,59_2
query_60,0,genomicbackground,0,genomicbackground,0.0006838772678747773,60_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_80_percentage_0_position_0-0 genomicbackground,60,2,60_2
query_61,0,genomicbackground,0,genomicbackground,0.0003795426746364683,61_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_85_percentage_0_position_0-0 genomicbackground,61,2,61_2
query_62,0,genomicbackground,0,genomicbackground,0.0003706754359882325,62_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_90_percentage_0_position_0-0 genomicbackground,62,2,62_2
query_63,0,genomicbackground,0,genomicbackground,0.00036020445986650884,63_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_105_off_95_percentage_0_position_0-0 genomicbackground,63,2,63_2
query_64,0,genomicbackground,0,genomicbackground,0.007641154807060957,64_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_0_percentage_0_position_0-0 genomicbackground,64,2,64_2
query_65,0,genomicbackground,0,genomicbackground,0.08521699160337448,65_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_5_percentage_0_position_0-0 genomicbackground,65,2,65_2
query_66,0,genomicbackground,0,genomicbackground,0.027950743213295937,66_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_10_percentage_0_position_0-0 genomicbackground,66,2,66_2
query_67,0,genomicbackground,0,genomicbackground,0.12217406183481216,67_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_15_percentage_0_position_0-0 genomicbackground,67,2,67_2
query_68,0,genomicbackground,0,genomicbackground,0.016596630215644836,68_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_20_percentage_0_position_0-0 genomicbackground,68,2,68_2
query_69,0,genomicbackground,0,genomicbackground,0.06786949187517166,69_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_25_percentage_0_position_0-0 genomicbackground,69,2,69_2
query_70,0,genomicbackground,0,genomicbackground,0.25686734914779663,70_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_30_percentage_0_position_0-0 genomicbackground,70,2,70_2
query_71,0,genomicbackground,0,genomicbackground,0.02007916197180748,71_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_35_percentage_0_position_0-0 genomicbackground,71,2,71_2
query_72,0,genomicbackground,0,genomicbackground,0.012086713686585426,72_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_40_percentage_0_position_0-0 genomicbackground,72,2,72_2
query_73,0,genomicbackground,0,genomicbackground,0.017310215160250664,73_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_45_percentage_0_position_0-0 genomicbackground,73,2,73_2
query_74,0,genomicbackground,0,genomicbackground,0.0191994346678257,74_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_50_percentage_0_position_0-0 genomicbackground,74,2,74_2
query_75,0,genomicbackground,0,genomicbackground,0.01152182836085558,75_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_55_percentage_0_position_0-0 genomicbackground,75,2,75_2
query_76,0,genomicbackground,0,genomicbackground,0.002355697099119425,76_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_60_percentage_0_position_0-0 genomicbackground,76,2,76_2
query_77,0,genomicbackground,0,genomicbackground,0.0055264863185584545,77_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_65_percentage_0_position_0-0 genomicbackground,77,2,77_2
query_78,0,genomicbackground,0,genomicbackground,0.016991999000310898,78_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_70_percentage_0_position_0-0 genomicbackground,78,2,78_2
query_79,0,genomicbackground,0,genomicbackground,0.013271993957459927,79_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_75_percentage_0_position_0-0 genomicbackground,79,2,79_2
query_80,0,genomicbackground,0,genomicbackground,0.0003561055928003043,80_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_80_percentage_0_position_0-0 genomicbackground,80,2,80_2
query_81,0,genomicbackground,0,genomicbackground,0.00034335453528910875,81_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_85_percentage_0_position_0-0 genomicbackground,81,2,81_2
query_82,0,genomicbackground,0,genomicbackground,0.00035343848867341876,82_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_110_off_90_percentage_0_position_0-0 genomicbackground,82,2,82_2
query_83,0,genomicbackground,0,genomicbackground,0.040986984968185425,83_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_0_percentage_0_position_0-0 genomicbackground,83,2,83_2
query_84,0,genomicbackground,0,genomicbackground,0.025338783860206604,84_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_5_percentage_0_position_0-0 genomicbackground,84,2,84_2
query_85,0,genomicbackground,0,genomicbackground,0.031841546297073364,85_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_10_percentage_0_position_0-0 genomicbackground,85,2,85_2
query_86,0,genomicbackground,0,genomicbackground,0.1363256275653839,86_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_15_percentage_0_position_0-0 genomicbackground,86,2,86_2
query_87,0,genomicbackground,0,genomicbackground,0.023424740880727768,87_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_20_percentage_0_position_0-0 genomicbackground,87,2,87_2
query_88,0,genomicbackground,0,genomicbackground,0.08501870185136795,88_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_25_percentage_0_position_0-0 genomicbackground,88,2,88_2
query_89,0,genomicbackground,0,genomicbackground,0.13130362331867218,89_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_30_percentage_0_position_0-0 genomicbackground,89,2,89_2
query_90,0,genomicbackground,0,genomicbackground,0.057500217109918594,90_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_35_percentage_0_position_0-0 genomicbackground,90,2,90_2
query_91,0,genomicbackground,0,genomicbackground,0.014133913442492485,91_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_40_percentage_0_position_0-0 genomicbackground,91,2,91_2
query_92,0,genomicbackground,0,genomicbackground,0.016808513551950455,92_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_45_percentage_0_position_0-0 genomicbackground,92,2,92_2
query_93,0,genomicbackground,0,genomicbackground,0.010604580864310265,93_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_50_percentage_0_position_0-0 genomicbackground,93,2,93_2
query_94,0,genomicbackground,0,genomicbackground,0.002539330394938588,94_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_55_percentage_0_position_0-0 genomicbackground,94,2,94_2
query_95,0,genomicbackground,0,genomicbackground,0.0021229679696261883,95_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_60_percentage_0_position_0-0 genomicbackground,95,2,95_2
query_96,0,genomicbackground,0,genomicbackground,0.007701334543526173,96_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_65_percentage_0_position_0-0 genomicbackground,96,2,96_2
query_97,0,genomicbackground,0,genomicbackground,0.013945449143648148,97_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_70_percentage_0_position_0-0 genomicbackground,97,2,97_2
query_98,0,genomicbackground,0,genomicbackground,0.000402747537009418,98_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_75_percentage_0_position_0-0 genomicbackground,98,2,98_2
query_99,0,genomicbackground,0,genomicbackground,0.00034680753014981747,99_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_80_percentage_0_position_0-0 genomicbackground,99,2,99_2
query_100,0,genomicbackground,0,genomicbackground,0.0003322184202261269,100_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_115_off_85_percentage_0_position_0-0 genomicbackground,100,2,100_2
query_101,0,genomicbackground,0,genomicbackground,0.01554702315479517,101_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_0_percentage_0_position_0-0 genomicbackground,101,2,101_2
query_102,0,genomicbackground,0,genomicbackground,0.029454359784722328,102_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_5_percentage_0_position_0-0 genomicbackground,102,2,102_2
query_103,0,genomicbackground,0,genomicbackground,0.034755781292915344,103_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_10_percentage_0_position_0-0 genomicbackground,103,2,103_2
query_104,0,genomicbackground,0,genomicbackground,0.02346138469874859,104_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_15_percentage_0_position_0-0 genomicbackground,104,2,104_2
query_105,0,genomicbackground,0,genomicbackground,0.027940528467297554,105_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_20_percentage_0_position_0-0 genomicbackground,105,2,105_2
query_106,0,genomicbackground,0,genomicbackground,0.04658246040344238,106_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_25_percentage_0_position_0-0 genomicbackground,106,2,106_2
query_107,0,genomicbackground,0,genomicbackground,0.25925213098526,107_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_30_percentage_0_position_0-0 genomicbackground,107,2,107_2
query_108,0,genomicbackground,0,genomicbackground,0.01513135526329279,108_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_35_percentage_0_position_0-0 genomicbackground,108,2,108_2
query_109,0,genomicbackground,0,genomicbackground,0.013778399676084518,109_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_40_percentage_0_position_0-0 genomicbackground,109,2,109_2
query_110,0,genomicbackground,0,genomicbackground,0.010669438168406487,110_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_45_percentage_0_position_0-0 genomicbackground,110,2,110_2
query_111,0,genomicbackground,0,genomicbackground,0.0027294373139739037,111_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_50_percentage_0_position_0-0 genomicbackground,111,2,111_2
query_112,0,genomicbackground,0,genomicbackground,0.0023621649015694857,112_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_55_percentage_0_position_0-0 genomicbackground,112,2,112_2
query_113,0,genomicbackground,0,genomicbackground,0.0021779481321573257,113_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_60_percentage_0_position_0-0 genomicbackground,113,2,113_2
query_114,0,genomicbackground,0,genomicbackground,0.00508669251576066,114_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_65_percentage_0_position_0-0 genomicbackground,114,2,114_2
query_115,0,genomicbackground,0,genomicbackground,0.00042552920058369637,115_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_70_percentage_0_position_0-0 genomicbackground,115,2,115_2
query_116,0,genomicbackground,0,genomicbackground,0.00035930282319895923,116_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_75_percentage_0_position_0-0 genomicbackground,116,2,116_2
query_117,0,genomicbackground,0,genomicbackground,0.00033000673283822834,117_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_120_off_80_percentage_0_position_0-0 genomicbackground,117,2,117_2
query_118,0,genomicbackground,0,genomicbackground,0.01800665259361267,118_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_0_percentage_0_position_0-0 genomicbackground,118,2,118_2
query_119,0,genomicbackground,0,genomicbackground,0.03260200098156929,119_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_5_percentage_0_position_0-0 genomicbackground,119,2,119_2
query_120,0,genomicbackground,0,genomicbackground,0.01108103059232235,120_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_10_percentage_0_position_0-0 genomicbackground,120,2,120_2
query_121,0,genomicbackground,0,genomicbackground,0.047686826437711716,121_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_15_percentage_0_position_0-0 genomicbackground,121,2,121_2
query_122,0,genomicbackground,0,genomicbackground,0.03510401025414467,122_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_20_percentage_0_position_0-0 genomicbackground,122,2,122_2
query_123,0,genomicbackground,0,genomicbackground,0.07634104043245316,123_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_25_percentage_0_position_0-0 genomicbackground,123,2,123_2
query_124,0,genomicbackground,0,genomicbackground,0.31083646416664124,124_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_30_percentage_0_position_0-0 genomicbackground,124,2,124_2
query_125,0,genomicbackground,0,genomicbackground,0.014698781073093414,125_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_35_percentage_0_position_0-0 genomicbackground,125,2,125_2
query_126,0,genomicbackground,0,genomicbackground,0.010840320028364658,126_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_40_percentage_0_position_0-0 genomicbackground,126,2,126_2
query_127,0,genomicbackground,0,genomicbackground,0.014445451088249683,127_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_45_percentage_0_position_0-0 genomicbackground,127,2,127_2
query_128,0,genomicbackground,0,genomicbackground,0.00241364655084908,128_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_50_percentage_0_position_0-0 genomicbackground,128,2,128_2
query_129,0,genomicbackground,0,genomicbackground,0.002417441923171282,129_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_55_percentage_0_position_0-0 genomicbackground,129,2,129_2
query_130,0,genomicbackground,0,genomicbackground,0.001082578906789422,130_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_60_percentage_0_position_0-0 genomicbackground,130,2,130_2
query_131,0,genomicbackground,0,genomicbackground,0.0005594611866399646,131_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_65_percentage_0_position_0-0 genomicbackground,131,2,131_2
query_132,0,genomicbackground,0,genomicbackground,0.0004324735782574862,132_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_70_percentage_0_position_0-0 genomicbackground,132,2,132_2
query_133,0,genomicbackground,0,genomicbackground,0.00032469871803186834,133_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_125_off_75_percentage_0_position_0-0 genomicbackground,133,2,133_2
query_134,0,genomicbackground,0,genomicbackground,0.024138055741786957,134_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_130_off_0_percentage_0_position_0-0 genomicbackground,134,2,134_2
query_135,0,genomicbackground,0,genomicbackground,0.012540476396679878,135_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_130_off_5_percentage_0_position_0-0 genomicbackground,135,2,135_2
query_136,0,genomicbackground,0,genomicbackground,0.009051688946783543,136_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_130_off_10_percentage_0_position_0-0 genomicbackground,136,2,136_2
query_137,0,genomicbackground,0,genomicbackground,0.029819371178746223,137_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_130_off_15_percentage_0_position_0-0 genomicbackground,137,2,137_2
query_138,0,genomicbackground,0,genomicbackground,0.01985524781048298,138_2_RF01056_2_NC_000913.3_4467215-4467731_ext_0-200_int_130_off_20_percentage_0_position_0-0 genomicbackground,138,2,138_2
