family,species,tree,seq_id
Enterobacteriaceae,Atlantibacter hermannii NBRC 105704,RF00442,"BAFF01000004.1/103701-103795_Atlantibacter_hermannii_NBRC_105704_NBRC_105704_DNA,_contig:_EH10570404,_whole_genome_shotgun_sequence_RF00442"
Enterobacteriaceae,Klebsiella indica,RF00442,"VCHQ01000026.1/277348-277250_Klebsiella_indica_strain_TOUT106_salmonela_mira_c26,_whole_genome_shotgun_sequence_RF00442"
Enterobacteriaceae,Yersinia ruckeri,RF00380,"UHJG01000001.1/908839-908666_UHJG01000001.1_Yersinia_ruckeri_strain_NCTC10476_genome_assembly,_contig:_ERS1545397SCcontig000001,_whole_genome_shotgun_sequence_RF00380"
Enterobacteriaceae,Citrobacter sp. JGM124,RF00380,"JAERJD010000003.1/263421-263596_JAERJD010000003.1_Citrobacter_sp._JGM124_scaffold3_size381558,_whole_genome_shotgun_sequence_RF00380"
Enterobacteriaceae,Kluyvera cryocrescens,RF00380,"CAADJD010000028.1/175687-175869_CAADJD010000028.1_Kluyvera_cryocrescens_strain_NCTC12993_genome_assembly,_contig:_ERS473437SCcontig000028,_whole_genome_shotgun_sequence_RF00380"
Enterobacteriaceae,Serratia ficaria,RF00380,"LT906479.1/2728787-2728614_LT906479.1_Serratia_ficaria_strain_NCTC12148_genome_assembly,_chromosome:_1_RF00380"
Enterobacteriaceae,Cedecea neteri,RF00380,"CP009451.1/4243987-4244159_CP009451.1_Cedecea_neteri_strain_SSMD04,_complete_genome_RF00380"
Enterobacteriaceae,Biostraticola tofi,RF00380,"SMCR01000004.1/761-934_SMCR01000004.1_Biostraticola_tofi_strain_DSM_19580_Ga0244679_104,_whole_genome_shotgun_sequence_RF00380"
Enterobacteriaceae,Providencia stuartii,RF00380,"LVIE01000013.1/33022-33198_LVIE01000013.1_Providencia_stuartii_strain_Crippen_contig_11,_whole_genome_shotgun_sequence_RF00380"
Enterobacteriaceae,Klebsiella sp. RIT-PI-d,RF00380,"LGIT01000017.1/19512-19694_Klebsiella_sp._RIT-PI-d_NODE_4_length_351486_cov_39.2173_ID_7,_whole_genome_shotgun_sequence._RF00380"
Enterobacteriaceae,Serratia fonticola,RF00380,"CP011254.1/1489410-1489596_Serratia_fonticola_strain_DSM_4576,_complete_genome._RF00380"
Enterobacteriaceae,Enterobacter cloacae SCF1,RF00380,"CP002272.1/273409-273226_Enterobacter_cloacae_SCF1,_complete_genome._RF00380"
Enterobacteriaceae,Arsenophonus nasoniae,RF00380,"CP038613.1/3408235-3408066_CP038613.1_Arsenophonus_nasoniae_strain_FIN_chromosome,_complete_genome_RF00380"
Enterobacteriaceae,Photorhabdus luminescens subsp. laumondii TTO1,RF00380,BX470251.1/4406483-4406312_Photorhabdus_luminescens_subsp._laumondii_TTO1_complete_genome_RF00380
Enterobacteriaceae,Citrobacter koseri ATCC BAA-895,RF01056,"CP000822.1/3321780-3321666_Citrobacter_koseri_ATCC_BAA-895,_complete_genome._RF01056"
Enterobacteriaceae,Salmonella enterica subsp. enterica serovar Poona,RF01056,"PYKI01002168.1/1-83_PYKI01002168.1_Salmonella_enterica_subsp._enterica_serovar_Poona_strain_22sa_NODE_2804_length_512_cov_1.81839,_whole_genome_shotgun_sequence_RF01056"
Enterobacteriaceae,Citrobacter rodentium ICC168,RF01056,"FN543502.1/3496760-3496874_Citrobacter_rodentium_ICC168,_complete_genome_RF01056"
Enterobacteriaceae,Shigella flexneri 2a str. 301,RF01056,"AE005674.2/4419701-4419586_Shigella_flexneri_2a_str._301,_complete_genome._RF01056"
Enterobacteriaceae,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,RF01056,"AE006468.2/4699497-4699609_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2,_complete_genome._RF01056"
Enterobacteriaceae,Salmonella enterica different,RF01056,"CP000880.1/3108729-3108617_Salmonella_enterica_different,_complete_genome._RF01056"
Enterobacteriaceae,Shigella boydii CDC 3083-94,RF01056,"CP001063.1/4512268-4512153_Shigella_boydii_CDC_3083-94,_complete_genome._RF01056"
Enterobacteriaceae,Trabulsiella odontotermitis,RF01056,"JNGI01000051.1/46241-46129_JNGI01000051.1_Trabulsiella_odontotermitis_strain_12_SAMPLE12_CONTIG_51,_whole_genome_shotgun_sequence_RF01056"
Enterobacteriaceae,Shigella sonnei Ss046,RF01056,"CP000038.1/4693869-4693984_Shigella_sonnei_Ss046,_complete_genome._RF01056"
Enterobacteriaceae,Escherichia vulneris NBRC 102420,RF01056,"BBMZ01000002.1/490806-490693_Escherichia_vulneris_NBRC_102420_DNA,_contig:_EV10242002._RF01056"
Enterobacteriaceae,Citrobacter freundii,RF01056,"JABXSS010000001.1/3651155-3651042_JABXSS010000001.1_Citrobacter_freundii_strain_RHB34-C11_RHB34-C11_1,_whole_genome_shotgun_sequence_RF01056"
Enterobacteriaceae,Jejubacter calystegiae,RF01056,"CP040428.1/578529-578415_CP040428.1_Jejubacter_calystegiae_strain_KSNA2_chromosome,_complete_genome_RF01056"
Enterobacteriaceae,Serratia odorifera DSM 4582,RF00080,"GG753567.1/3464474-3464292_Serratia_odorifera_DSM_4582_genomic_scaffold_SCAFFOLD1,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Tenebrionibacter intestinalis,RF00080,"JAEPBH010000001.1/98071-97895_Tenebrionibacter_intestinalis_strain_BIT-L3_Scaffold1,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Serratia rubidaea,RF00080,"LR134493.1/3760816-3760634_Serratia_rubidaea_strain_NCTC10036_genome_assembly,_chromosome:_1_RF00080"
Enterobacteriaceae,Xenorhabdus innexi,RF00080,"LT699767.1/879878-880053_Xenorhabdus_innexi_strain_HGB1681_(deposited_as_PTA-6826_in_the_American_Type_Culture_Collection)_genome_assembly,_scaffold:_XIS1_scaffold1,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Serratia symbiotica str. Tucson,RF00080,"GL636121.1/43167-43350_Serratia_symbiotica_str._Tucson_genomic_scaffold_scaffold00333,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Xenorhabdus koppenhoeferi,RF00080,"FPBJ01000017.1/39188-39328_Xenorhabdus_koppenhoeferi_strain_DSM_18168_genome_assembly,_contig:_Ga0111672_117,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Xenorhabdus cabanillasii,RF00080,"QTUB01000001.1/2871127-2870953_Xenorhabdus_cabanillasii_strain_DSM_17905_Ga0236269_11,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Yersinia pestis CO92,RF00080,AL590842.1/2000115-1999916_Yersinia_pestis_CO92_complete_genome_RF00080
Enterobacteriaceae,Edwardsiella hoshinae,RF00080,"UFXZ01000001.1/20473-20578_Edwardsiella_hoshinae_strain_NCTC12121_genome_assembly,_contig:_ERS1295689SCcontig000001,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Xenorhabdus japonica,RF00080,"FOVO01000003.1/84612-84495_Xenorhabdus_japonica_strain_DSM_16522_genome_assembly,_contig:_Ga0111655_103,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Cronobacter sakazakii ATCC BAA-894,RF00080,"CP000783.1/1375601-1375429_Cronobacter_sakazakii_ATCC_BAA-894,_complete_genome_RF00080"
Enterobacteriaceae,Buttiauxella agrestis ATCC 33320,RF00080,"JMPI01000030.1/198867-199074_Buttiauxella_agrestis_ATCC_33320_GBAG.assembly.030,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Erwinia mallotivora,RF01734,"JFHN01000066.1/21329-21398_Erwinia_mallotivora_strain_BT-MARDI_contig_66,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Erwinia tracheiphila,RF01734,"JXNU01000003.1/4160542-4160614_Erwinia_tracheiphila_strain_BuffGH_Etrach_2,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Tatumella morbirosei,RF01734,"JPKR02000005.1/497787-497711_Tatumella_morbirosei_strain_LMG_23360_Contig5,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Leminorella richardii,RF00168,"LS483470.1/439075-438834_LS483470.1_Leminorella_richardii_strain_NCTC12151_genome_assembly,_chromosome:_1_RF00168"
Enterobacteriaceae,Erwinia tasmaniensis,RF00168,CU468135.1/3490546-3490735_Erwinia_tasmaniensis_strain_ET1/99_complete_chromosome._RF00168
Enterobacteriaceae,Sodalis glossinidius str. 'morsitans',RF00168,"AP008232.1/3728538-3728734_Sodalis_glossinidius_str._'morsitans'_DNA,_complete_genome._RF00168"
Enterobacteriaceae,Budvicia aquatica,RF00168,"PDDX01000001.1/1940-2129_PDDX01000001.1_Budvicia_aquatica_strain_FDAARGOS_387_pRIID_90.contig.0,_whole_genome_shotgun_sequence_RF00168"
Enterobacteriaceae,Candidatus Erwinia dacicola,RF00174,"LJAM02000291.1/2644-2463_LJAM02000291.1_Candidatus_Erwinia_dacicola_strain_Oroville_edac.contig.283_1,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Salmonella enterica subsp. arizonae,RF00174,"LS483466.1/1742647-1742820_LS483466.1_Salmonella_enterica_subsp._arizonae_strain_NCTC7307_genome_assembly,_chromosome:_1_RF00174"
Enterobacteriaceae,Enterobacter sp. 638,RF01068,"CP000653.1/386379-386423_Enterobacter_sp._638_chromosome,_complete_genome_RF01068"
Enterobacteriaceae,Candidatus Regiella insecticola R5.15,RF00059,"AGCA01000254.1/1488-1376_Candidatus_Regiella_insecticola_R5.15_Rin_2504560305.454,_whole_genome_shotgun_sequence._RF00059"
Enterobacteriaceae,Mangrovibacter sp. MFB070,RF03054,"JJMI01000039.1/91116-91175_Mangrovibacter_sp._MFB070_Contig-039,_whole_genome_shotgun_sequence_RF03054"
Enterobacteriaceae,Enterobacteriaceae bacterium RIT714,RF00380,"WJYB01000018.1/13853-13684_WJYB01000018.1_Enterobacteriaceae_bacterium_RIT714_18,_whole_genome_shotgun_sequence_RF00380"
Enterobacteriaceae,Candidatus Symbiopectobacterium sp. PLON1,RF00504,"RYVO01000024.1/73403-73515_MAG:_Candidatus_Symbiopectobacterium_sp._PLON1_n24_c_19.6,_whole_genome_shotgun_sequence_RF00504"
Enterobacteriaceae,Enterobacteriaceae bacterium strain FGI 57,RF00380,"CP003938.1/256342-256160_CP003938.1_Enterobacteriaceae_bacterium_strain_FGI_57,_complete_genome_RF00380"
Enterobacteriaceae,Brenneria goodwinii,RF00504,"CGIG01000001.1/4527108-4527012_Brenneria_goodwinii_genome_assembly_B_goodwinii_PB,_contig_Contig,_whole_genome_shotgun_sequence_RF00504"
Enterobacteriaceae,Candidatus Symbiopectobacterium sp. Dall1.0,RF00504,"RYVQ01000136.1/11403-11495_MAG:_Candidatus_Symbiopectobacterium_sp._Dall1.0_n136,_whole_genome_shotgun_sequence_RF00504"
Enterobacteriaceae,Dickeya dadantii 3937,RF00442,"CP002038.1/4775001-4775095_Dickeya_dadantii_3937,_complete_genome_RF00442"
Enterobacteriaceae,Kosakonia cowanii JCM 10956 = DSM 18146,RF00380,"CP019445.1/4525707-4525885_CP019445.1_Kosakonia_cowanii_JCM_10956_=_DSM_18146_strain_888-76_chromosome,_complete_genome_RF00380"
Enterobacteriaceae,Klebsiella pneumoniae subsp. pneumoniae,RF00380,"CP003200.1/5013317-5013498_CP003200.1_Klebsiella_pneumoniae_subsp._pneumoniae_HS11286,_complete_genome_RF00380"
Enterobacteriaceae,Pantoea ananatis LMG 20103,RF00380,"CP001875.2/1830423-1830596_Pantoea_ananatis_LMG_20103,_complete_genome._RF00380"
Enterobacteriaceae,Klebsiella michiganensis,RF00380,"KK036986.1/5813892-5814075_KK036986.1_Klebsiella_michiganensis_strain_MGH_27_adjbQ-supercont1.1,_whole_genome_shotgun_sequence_RF00380"
Enterobacteriaceae,Biostraticola tofi,RF00380,"SMCR01000007.1/67411-67241_SMCR01000007.1_Biostraticola_tofi_strain_DSM_19580_Ga0244679_107,_whole_genome_shotgun_sequence_RF00380"
Enterobacteriaceae,Serratia fonticola,RF00380,"CP011254.1/5870209-5870039_Serratia_fonticola_strain_DSM_4576,_complete_genome._RF00380"
Enterobacteriaceae,Kluyvera genomosp. 3,RF00380,"CP022114.1/2508751-2508934_CP022114.1_Kluyvera_genomosp._3_strain_YDC799_chromosome,_complete_genome_RF00380"
Enterobacteriaceae,Arsenophonus nasoniae,RF00380,"CP038613.1/2986635-2986463_CP038613.1_Arsenophonus_nasoniae_strain_FIN_chromosome,_complete_genome_RF00380"
Enterobacteriaceae,Kluyvera cryocrescens,RF01056,"CAADJD010000021.1/91895-92005_CAADJD010000021.1_Kluyvera_cryocrescens_strain_NCTC12993_genome_assembly,_contig:_ERS473437SCcontig000021,_whole_genome_shotgun_sequence_RF01056"
Enterobacteriaceae,Enterobacter cloacae SCF1,RF01056,"CP002272.1/4206762-4206644_Enterobacter_cloacae_SCF1,_complete_genome._RF01056"
Enterobacteriaceae,Cedecea neteri,RF01056,"CP009451.1/3173623-3173739_CP009451.1_Cedecea_neteri_strain_SSMD04,_complete_genome_RF01056"
Enterobacteriaceae,Klebsiella indica,RF01056,"VCHQ01000019.1/69936-69821_VCHQ01000019.1_Klebsiella_indica_strain_TOUT106_salmonela_mira_c19,_whole_genome_shotgun_sequence_RF01056"
Enterobacteriaceae,Klebsiella sp. RIT-PI-d,RF01056,"LGIT01000012.1/10535-10420_Klebsiella_sp._RIT-PI-d_NODE_6_length_100078_cov_38.7117_ID_11,_whole_genome_shotgun_sequence._RF01056"
Enterobacteriaceae,Atlantibacter hermannii NBRC 105704,RF00080,"BAFF01000001.1/262562-262741_Atlantibacter_hermannii_NBRC_105704_NBRC_105704_DNA,_contig:_EH10570401,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Yersinia ruckeri,RF00080,"UHJG01000001.1/109213-109033_Yersinia_ruckeri_strain_NCTC10476_genome_assembly,_contig:_ERS1545397SCcontig000001,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Citrobacter freundii,RF00080,"JABXSS010000001.1/1482862-1482762_Citrobacter_freundii_strain_RHB34-C11_RHB34-C11_1,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Gibbsiella quercinecans,RF00080,"CP014136.1/5046353-5046172_Gibbsiella_quercinecans_strain_FRB97_chromosome,_complete_genome_RF00080"
Enterobacteriaceae,Citrobacter sp. JGM124,RF00080,"JAERJD010000001.1/386521-386336_Citrobacter_sp._JGM124_scaffold1_size548971,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Providencia stuartii,RF00080,"LVIE01000168.1/221221-221399_Providencia_stuartii_strain_Crippen_contig_3,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Serratia ficaria,RF00080,"LT906479.1/3016628-3016811_Serratia_ficaria_strain_NCTC12148_genome_assembly,_chromosome:_1_RF00080"
Enterobacteriaceae,Serratia odorifera DSM 4582,RF01734,"GG753567.1/57762-57824_Serratia_odorifera_DSM_4582_genomic_scaffold_SCAFFOLD1,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Pantoea agglomerans,RF01734,"UGSO01000001.1/247485-247560_Pantoea_agglomerans_strain_NCTC9381_genome_assembly,_contig:_ERS513136SCcontig000001,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Erwinia mallotivora,RF01734,"JFHN01000018.1/140995-140923_Erwinia_mallotivora_strain_BT-MARDI_contig_18,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Edwardsiella hoshinae,RF01734,"UFXZ01000001.1/1276307-1276384_Edwardsiella_hoshinae_strain_NCTC12121_genome_assembly,_contig:_ERS1295689SCcontig000001,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Serratia rubidaea,RF01734,"LR134493.1/353347-353423_Serratia_rubidaea_strain_NCTC10036_genome_assembly,_chromosome:_1_RF01734"
Enterobacteriaceae,Brenneria rubrifaciens,RF01734,"CP034035.1/1122516-1122457_Brenneria_rubrifaciens_strain_6D370_chromosome,_complete_genome_RF01734"
Enterobacteriaceae,Pantoea vagans,RF01734,"CP011427.1/27359-27434_Pantoea_vagans_strain_ND02_chromosome,_complete_genome_RF01734"
Enterobacteriaceae,Shigella flexneri 2a str. 301,RF00168,"AE005674.2/4356132-4356328_Shigella_flexneri_2a_str._301,_complete_genome._RF00168"
Enterobacteriaceae,Tatumella morbirosei,RF00168,"JPKR02000005.1/216449-216643_Tatumella_morbirosei_strain_LMG_23360_Contig5,_whole_genome_shotgun_sequence._RF00168"
Enterobacteriaceae,Buttiauxella agrestis ATCC 33320,RF00168,"JMPI01000006.1/93578-93418_Buttiauxella_agrestis_ATCC_33320_GBAG.assembly.006,_whole_genome_shotgun_sequence._RF00168"
Enterobacteriaceae,Lonsdalea quercina,RF00168,"FNQS01000016.1/27479-27674_Lonsdalea_quercina_strain_ATCC_29281_genome_assembly,_contig:_Ga0052894_scaffold00016.16_RF00168"
Enterobacteriaceae,Budvicia aquatica,RF00168,"PDDX01000001.1/5910874-5911065_PDDX01000001.1_Budvicia_aquatica_strain_FDAARGOS_387_pRIID_90.contig.0,_whole_genome_shotgun_sequence_RF00168"
Enterobacteriaceae,Serratia symbiotica str. Tucson,RF00168,"GL636100.1/63454-63261_Serratia_symbiotica_str._Tucson_genomic_scaffold_scaffold00201,_whole_genome_shotgun_sequence._RF00168"
Enterobacteriaceae,Jejubacter calystegiae,RF00168,"CP040428.1/1557452-1557262_CP040428.1_Jejubacter_calystegiae_strain_KSNA2_chromosome,_complete_genome_RF00168"
Enterobacteriaceae,Tenebrionibacter intestinalis,RF00168,"JAEPBH010000011.1/75772-75965_JAEPBH010000011.1_Tenebrionibacter_intestinalis_strain_BIT-L3_Scaffold11,_whole_genome_shotgun_sequence_RF00168"
Enterobacteriaceae,Cronobacter sakazakii ATCC BAA-894,RF00168,"CP000783.1/52032-51839_Cronobacter_sakazakii_ATCC_BAA-894,_complete_genome._RF00168"
Enterobacteriaceae,Escherichia vulneris NBRC 102420,RF00168,"BBMZ01000004.1/38415-38609_Escherichia_vulneris_NBRC_102420_DNA,_contig:_EV10242004._RF00168"
Enterobacteriaceae,Erwinia billingiae,RF00168,FP236843.1/356595-356352_Erwinia_billingiae_strain_Eb661_complete_chromosome._RF00168
Enterobacteriaceae,Erwinia tracheiphila,RF00168,"JXNU01000003.1/3154900-3154653_Erwinia_tracheiphila_strain_BuffGH_Etrach_2,_whole_genome_shotgun_sequence._RF00168"
Enterobacteriaceae,Salmonella enterica different,RF00174,"CP000880.1/869401-869575_Salmonella_enterica_different,_complete_genome._RF00174"
Enterobacteriaceae,Shigella sonnei Ss046,RF00174,"CP000038.1/4382769-4382958_Shigella_sonnei_Ss046,_complete_genome._RF00174"
Enterobacteriaceae,Citrobacter rodentium ICC168,RF00174,"FN543502.1/2222131-2221957_Citrobacter_rodentium_ICC168,_complete_genome_RF00174"
Enterobacteriaceae,Klebsiella pneumoniae subsp. ozaenae,RF00174,"UGLZ01000004.1/343404-343581_UGLZ01000004.1_Klebsiella_pneumoniae_subsp._ozaenae_strain_NCTC5050_genome_assembly,_contig:_ERS513128SCcontig000004,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,RF00174,"AE006468.2/4347864-4348056_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2,_complete_genome._RF00174"
Enterobacteriaceae,Yersinia pestis CO92,RF00174,AL590842.1/4393250-4392989_Yersinia_pestis_CO92_complete_genome_RF00174
Enterobacteriaceae,Salmonella enterica subsp. arizonae,RF00174,"LS483466.1/4309774-4309582_LS483466.1_Salmonella_enterica_subsp._arizonae_strain_NCTC7307_genome_assembly,_chromosome:_1_RF00174"
Enterobacteriaceae,Photorhabdus luminescens subsp. laumondii TTO1,RF00174,BX470251.1/3500804-3500619_Photorhabdus_luminescens_subsp._laumondii_TTO1_complete_genome_RF00174
Enterobacteriaceae,Leminorella richardii,RF00174,"LS483470.1/3590488-3590278_LS483470.1_Leminorella_richardii_strain_NCTC12151_genome_assembly,_chromosome:_1_RF00174"
Enterobacteriaceae,Trabulsiella odontotermitis,RF00174,"JNGI01000069.1/26060-26242_JNGI01000069.1_Trabulsiella_odontotermitis_strain_12_SAMPLE12_CONTIG_69,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Citrobacter koseri ATCC BAA-895,RF00174,"CP000822.1/771363-771536_Citrobacter_koseri_ATCC_BAA-895,_complete_genome._RF00174"
Enterobacteriaceae,Xenorhabdus japonica,RF01068,"FOVO01000002.1/151344-151390_Xenorhabdus_japonica_strain_DSM_16522_genome_assembly,_contig:_Ga0111655_102,_whole_genome_shotgun_sequence_RF01068"
Enterobacteriaceae,Erwinia tasmaniensis,RF01068,CU468135.1/3718371-3718324_Erwinia_tasmaniensis_strain_ET1/99_complete_chromosome_RF01068
Enterobacteriaceae,Xenorhabdus koppenhoeferi,RF01068,"FPBJ01000019.1/41068-41114_Xenorhabdus_koppenhoeferi_strain_DSM_18168_genome_assembly,_contig:_Ga0111672_119,_whole_genome_shotgun_sequence_RF01068"
Enterobacteriaceae,Xenorhabdus cabanillasii,RF01068,"QTUB01000001.1/677924-677970_Xenorhabdus_cabanillasii_strain_DSM_17905_Ga0236269_11,_whole_genome_shotgun_sequence_RF01068"
Enterobacteriaceae,Xenorhabdus innexi,RF01068,"LT699767.1/1972734-1972688_Xenorhabdus_innexi_strain_HGB1681_(deposited_as_PTA-6826_in_the_American_Type_Culture_Collection)_genome_assembly,_scaffold:_XIS1_scaffold1,_whole_genome_shotgun_sequence_RF01068"
Enterobacteriaceae,Salmonella enterica subsp. enterica serovar Poona,RF01055,"PYKI01003106.1/2244-2388_PYKI01003106.1_Salmonella_enterica_subsp._enterica_serovar_Poona_strain_22sa_NODE_471_length_2522_cov_3.80327,_whole_genome_shotgun_sequence_RF01055"
Enterobacteriaceae,Shigella boydii CDC 3083-94,RF01055,"CP001063.1/2372677-2372533_Shigella_boydii_CDC_3083-94,_complete_genome._RF01055"
Enterobacteriaceae,Candidatus Erwinia dacicola,RF00050,"LJAM02000141.1/597-746_LJAM02000141.1_Candidatus_Erwinia_dacicola_strain_Oroville_edac.contig.135_1,_whole_genome_shotgun_sequence_RF00050"
Enterobacteriaceae,Enterobacter sp. 638,RF00059,"CP000653.1/242251-242143_Enterobacter_sp._638,_complete_genome._RF00059"
Enterobacteriaceae,Sodalis glossinidius str. 'morsitans',RF00059,"AP008232.1/761536-761422_Sodalis_glossinidius_str._'morsitans'_DNA,_complete_genome._RF00059"
Enterobacteriaceae,Candidatus Symbiopectobacterium sp. PLON1,RF00504,"RYVO01000024.1/73303-73395_MAG:_Candidatus_Symbiopectobacterium_sp._PLON1_n24_c_19.6,_whole_genome_shotgun_sequence_RF00504"
Enterobacteriaceae,Enterobacteriaceae bacterium RIT714,RF01056,"WJYB01000004.1/275961-276074_WJYB01000004.1_Enterobacteriaceae_bacterium_RIT714_4,_whole_genome_shotgun_sequence_RF01056"
Enterobacteriaceae,Mangrovibacter sp. MFB070,RF00442,"JJMI01000025.1/590612-590706_Mangrovibacter_sp._MFB070_Contig-025,_whole_genome_shotgun_sequence_RF00442"
Enterobacteriaceae,Enterobacteriaceae bacterium strain FGI 57,RF01056,"CP003938.1/4185611-4185501_CP003938.1_Enterobacteriaceae_bacterium_strain_FGI_57,_complete_genome_RF01056"
Enterobacteriaceae,Brenneria goodwinii,RF00442,"CGIG01000001.1/1801858-1801758_Brenneria_goodwinii_genome_assembly_B_goodwinii_PB,_contig_Contig,_whole_genome_shotgun_sequence_RF00442"
Enterobacteriaceae,Arsenophonus nasoniae,RF00380,"CP038613.1/502271-502102_CP038613.1_Arsenophonus_nasoniae_strain_FIN_chromosome,_complete_genome_RF00380"
Enterobacteriaceae,Kosakonia cowanii JCM 10956 = DSM 18146,RF01056,"CP019445.1/646968-646858_CP019445.1_Kosakonia_cowanii_JCM_10956_=_DSM_18146_strain_888-76_chromosome,_complete_genome_RF01056"
